Drink,Ingredient,Amount,IngredientUse,Glass
212,Partida Reposado Tequila,2oz,Build,Collins glass
212,Ruby Red Grapefruit Juice,2oz,Build,Collins glass
212,Aperol,1oz,Build,Collins glass
212,Orange Twist,1,Garnish,Collins glass
#3 Cup,Mint Leaf,4,Muddle,Collins glass
#3 Cup,Cucumber Slice,2,Muddle,Collins glass
#3 Cup,Orange Slice,2,Muddle,Collins glass
#3 Cup,Hine V.S.O.P. Cognac,1oz,Build,Collins glass
#3 Cup,House Ginger Beer,1oz,Build,Collins glass
#3 Cup,Mint Sprig,1,Garnish,Collins glass
#3 Cup,Martini Sweet Vermouth,.75oz,Build,Collins glass
#3 Cup,Cherry Heering,.5oz,Build,Collins glass
#3 Cup,Lemon Juice,.5oz,Build,Collins glass
#3 Cup,Marie Brizard Orange Curacao,.5oz,Build,Collins glass
#8,Don Julio Reposado Tequila,2oz,Build,Coupe
#8,House Orange Bitters,2dashes,Build,Coupe
#8,Lemon Twist,1,Garnish,Coupe
#8,Lustau Palo Cortado Sherry,.75oz,Build,Coupe
#8,Barenjager Honey Liqueur,.5oz,Build,Coupe
100 Year Punch,Fee Brothers Old Fashion Bitters,2dashes,Build,Rocks
100 Year Punch,"Bek Se Ju ""100-year wine""",1oz,Build,Rocks
100 Year Punch,Elijah Craig 12-Year-Old Bourbon,1oz,Build,Rocks
100 Year Punch,Q Tonic,1oz,Top,Rocks
100 Year Punch,Pinch Grated Nutmeg,1,Garnish,Rocks
100 Year Punch,Tangerine Zest,1,Garnish,Rocks
100 Year Punch,Ssal-Yut Rice Syrup,.25oz,Build,Rocks
20th Century,Plymouth Gin,1.5oz,Build,Coupe
20th Century,Lemon Juice,.75oz,Build,Coupe
20th Century,Lillet Blanc,.75oz,Build,Coupe
20th Century,Marie Brizard White Creme de Cacao,.75oz,Build,Coupe
21st Century,Siete Leguas Blanco Tequila,2oz,Build,Coupe
21st Century,Lemon Juice,.75oz,Build,Coupe
21st Century,Marie Brizard White Creme de Cacao,.75oz,Build,Coupe
21st Century,Pernod,,Rinse,Coupe
Absinthe Drip,Ice-Cold Filtered Water,4.5-6oz,Build,Absinthe
Absinthe Drip,Vieux Pontarlier Absinthe,1.5oz,Build,Absinthe
Absinthe Drip,Sugar Cube,1,Build,Absinthe
Against All Odds Cocktail,Bushmills Irish Whiskey,1.5oz,Build,Coupe
Against All Odds Cocktail,Channing Daughters Scuttlehole Chardonnay,1.5oz,Build,Coupe
Against All Odds Cocktail,Pansy Flower,1,Garnish,Coupe
Against All Odds Cocktail,Rothman & Winter Orchard Apricot,.5oz,Build,Coupe
Against All Odds Cocktail,Rhum Clement Creole Shrubb,.25oz,Build,Coupe
Against All Odds Cocktail,Illegal Reposado Mezcal,,Rinse,Coupe
Aguila Azteca,Honeydew Melon Juice,1oz,Build,Coupe
Aguila Azteca,Jose Cuervo Tradicional Tequila,1.5oz,Build,Coupe
Aguila Azteca,Canton Ginger Liqueur,.25oz,Build,Coupe
Aguila Azteca,Rothman & Winter Creme de Violette,.25oz,Build,Coupe
Airmail,Banks 5 Island Rum,1oz,Build,Coupe
Airmail,Moet Imperial Champagne,1oz,Top,Coupe
Airmail,Lime Wheel,1,Garnish,Coupe
Airmail,Honey Syrup,.5oz,Build,Coupe
Airmail,Lime Juice,.5oz,Build,Coupe
Albert Mathieu,Regan's Orange Bitters,1dash,Build,Coupe
Albert Mathieu,St. Germain Elderflower Liqueur,1barspoon,Build,Coupe
Albert Mathieu,Plymouth Gin,1.5oz,Build,Coupe
Albert Mathieu,Orange Twist,1,Garnish,Coupe
Albert Mathieu,Green Chartreuse,.75oz,Build,Coupe
Albert Mathieu,Lillet Blanc,.75oz,Build,Coupe
Algonquin,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe
Algonquin,Dolin Dry Vermouth,.75oz,Build,Coupe
Algonquin,Pineapple Juice,.75oz,Build,Coupe
Americano Highball,Club Soda,2.5oz,Top,Collins
Americano Highball,Campari,1.5oz,Build,Collins
Americano Highball,Carpano Antica Sweet Vermouth,1.5oz,Build,Collins
Americano Highball,Half an Orange Wheel,1,Garnish,Collins
Aperol Spritz,Aperol,2oz,Build,Rocks
Aperol Spritz,Carpene Malvolti Prosecco,1oz,Build,Rocks
Aperol Spritz,Club Soda,1oz,Build,Rocks
Aperol Spritz,Half an Orange Wheel,1,Garnish,Rocks
Aperol Spritz,Orange Juice,.5oz,Build,Rocks
Apple Daiquiri,Flor de Cana Silver Dry Rum,2oz,Build,Coupe
Apple Daiquiri,Lime Juice,.75oz,Build,Coupe
Apple Daiquiri,Schonauer Apfel Schnapps,.5oz,Build,Coupe
Apple Daiquiri,Simple Syrup,.25oz,Build,Coupe
Apple Malt Toddy,Red Jacket Orchards Apple Cider,2oz,Build,Mug
Apple Malt Toddy,Drouhin Pommeau,1oz,Build,Mug
Apple Malt Toddy,Deep Mountain Grade B Maple Syrup,1barspoon,Build,Mug
Apple Malt Toddy,Chivas Regal 12-Year-Old Blended Scotch Whiskey,1.5oz,Build,Mug
Apple Malt Toddy,Cinnamon Stick,1,Garnish,Mug
Apple Malt Toddy,St. Elizabeth Allspice Dram,.25oz,Build,Mug
Applejack Rabbit,Laird's Bonded Apple Brandy,2oz,Build,Coupe
Applejack Rabbit,Lemon Juice,.75oz,Build,Coupe
Applejack Rabbit,Orange Juice,.75oz,Build,Coupe
Applejack Rabbit,Deep Mountain Grade B Maple Syrup,.5oz,Build,Coupe
Apricot Flip,Hine V.S.O.P. Cognac,2oz,Build,Fizz
Apricot Flip,Pinch Grated Nutmeg,1,Garnish,Fizz
Apricot Flip,Whole Egg,1,Build,Fizz
Apricot Flip,Rothman & Winter Orchard Apricot,.75oz,Build,Fizz
Apricot Flip,Simple Syrup,.5oz,Build,Fizz
Archangel,Plymouth Gin,2.25oz,Build,Coupe
Archangel,Cucumber Slice,2,Muddle,Coupe
Archangel,Lemon Twist,1,Garnish,Coupe
Archangel,Aperol,.75oz,Build,Coupe
Astoria Bianco,House Orange Bitters,2dashes,Build,Coupe
Astoria Bianco,Tanqueray Gin,2.5oz,Build,Coupe
Astoria Bianco,Martini Bianco Vermouth,1oz,Build,Coupe
Astoria Bianco,Orange Twist,1,Garnish,Coupe
Aviation,Beefeater Gin,2oz,Build,Coupe
Aviation,Lemon Juice,.75oz,Build,Coupe
Aviation,Luxardo Maraschino Liqueur,.5oz,Build,Coupe
Aviation,Rothman & Winter Creme de Violette,.25oz,Build,Coupe
Beachbum,Flor de Cana Silver Dry Rum,1oz,Build,Tiki Mug
Beachbum,Mount Gay Eclipse Amber Rum,1oz,Build,Tiki Mug
Beachbum,Pineapple Juice,1oz,Build,Tiki Mug
Beachbum,Orange-Cherry Flag,1,Garnish,Tiki Mug
Beachbum,Umbrella,1,Garnish,Tiki Mug
Beachbum,Lime Juice,.75oz,Build,Tiki Mug
Beachbum,Kassatly Chtaura Orgeat,.5oz,Build,Tiki Mug
Beachbum,Rothman & Winter Orchard Apricot,.5oz,Build,Tiki Mug
Beer and a Smoke,Victory Pilsner,6oz,Top,Collins
Beer and a Smoke,Cholula,4dashes,Build,Collins
Beer and a Smoke,Sombra Mezcal,1oz,Build,Collins
Beer and a Smoke,The Bitter Truth Celery Bitters,1dash,Build,Collins
Beer and a Smoke,Lime Zest,1,Garnish,Collins
Beer and a Smoke,Orange Zest,1,Garnish,Collins
Beer and a Smoke,Lime Juice,.75oz,Build,Collins
Beer and a Smoke,Celery Salt,,Rim,Collins
Beer and a Smoke,Ground Black Pepper,,Rim,Collins
Beer and a Smoke,Kosher Salt,,Rim,Collins
Beer Cassis,Brooklyn Brewery Local 1,6oz,Top,Wine
Beer Cassis,Dubonnet Rouge,1oz,Build,Wine
Beer Cassis,Lemon Twist,1,Garnish,Wine
Beer Cassis,Theurlet Creme de Cassis,.25oz,Build,Wine
Bee's Knees,Plymouth Gin,2oz,Build,Coupe
Bee's Knees,Honey Syrup,.75oz,Build,Coupe
Bee's Knees,Lemon Juice,.75oz,Build,Coupe
Bee's Sip,Chamomile-Infused Barsol Quebranta Pisco,2.5oz,Build,Coupe
Bee's Sip,"Masumi ""Okuden"" Junmai Sake",1oz,Build,Coupe
Bee's Sip,Lemon Twist,1,Garnish,Coupe
Bee's Sip,Barenjager Honey Liqueur,.5oz,Build,Coupe
Bee's Sip,St. Germain Elderflower Liqueur,,Rinse,Coupe
Benton's Old-Fashioned,Benton's Bacon Fat-Infused Four Roses Bourbon,2oz,Build,Rocks
Benton's Old-Fashioned,Angostura Bitters,2dashes,Build,Rocks
Benton's Old-Fashioned,Orange Twist,1,Garnish,Rocks
Benton's Old-Fashioned,Deep Mountain Grade B Maple Syrup,.25oz,Build,Rocks
Berlioni,Tanqueray Gin,1.5oz,Build,Rocks
Berlioni,Orange Twist,1,Garnish,Rocks
Berlioni,Cynar,.75oz,Garnish,Rocks
Berlioni,Noilly Prat Dry Vermouth,.5oz,Garnish,Rocks
Betsy Ross,Pierre Ferrand Ambre Cognac,2oz,Build,Coupe
Betsy Ross,Angostura Bitters,2dashes,Build,Coupe
Betsy Ross,Pinch Grated Nutmeg,1,Garnish,Coupe
Betsy Ross,Dow's Ruby Port,.75oz,Build,Coupe
Betsy Ross,Grand Marnier,.5oz,Build,Coupe
Betula,Birch-Infused Rittenhouse Bonded Rye Whiskey,1oz,Build,Coupe
Betula,Matusalem Gran Reserva Rum,1oz,Build,Coupe
Betula,Star Anise Pod,1,Garnish,Coupe
Betula,Deep Mountain Grade B Maple Syrup,.5oz,Build,Coupe
Betula,Lemon Juice,.5oz,Build,Coupe
Bijou,Dolin Sweet Vermouth,1oz,Build,Coupe
Bijou,Green Chartreuse,1oz,Build,Coupe
Bijou,Tanqueray Gin,1oz,Build,Coupe
Bijou,House Orange Bitters,1dash,Build,Coupe
Bijou,Cherry,1,Garnish,Coupe
Bijou,Lemon Twist,1,Garnish,Coupe
Bizet,Moet Imperial Champagne,1oz,Top,Coupe
Bizet,Shinn Estate Rose,1.5oz,Build,Coupe
Bizet,Flamed Orange Twist,1,Garnish,Coupe
Bizet,Amaro Ciociaro,.5oz,Build,Coupe
Bizet,Luxardo Bitter,.5oz,Build,Coupe
Black Flip,Brooklyn Black Chocolate Stout,2oz,Build,Fizz
Black Flip,Cruzan Black Strap Rum,1.5oz,Build,Fizz
Black Flip,Pinch Grated Nutmeg,1,Garnish,Fizz
Black Flip,Whole Egg,1,Build,Fizz
Black Flip,Demerara Syrup,.5oz,Build,Fizz
Black Jack,Cherry,3,Garnish,Coupe
Black Jack,Pierre Ferrand Ambre Cognac,1.5oz,Build,Coupe
Black Jack,9th Street Alphabet City Coffee Concentrate,.5oz,Build,Coupe
Black Jack,Clear Creek Kirschwasser,.5oz,Build,Coupe
Black Jack,Demerara Syrup,.25oz,Build,Coupe
Black Thorn (Irish),Black Bush Irish Whiskey,2oz,Build,Coupe
Black Thorn (Irish),Angostura Bitters,2dashes,Build,Coupe
Black Thorn (Irish),Dolin Dry Vermouth,1oz,Build,Coupe
Black Thorn (Irish),Lemon Twist,1,Garnish,Coupe
Black Thorn (Irish),St. George Absinthe,,Rinse,Coupe
Blackbeard,Blackberry,4,Muddle,Rocks
Blackbeard,Beefeater Gin,1.5oz,Build,Rocks
Blackbeard,Mint Sprig,1,Garnish,Rocks
Blackbeard,Krogstad Aquavit,.75oz,Build,Rocks
Blackbeard,Pineapple Juice,.75oz,Build,Rocks
Blackbeard,Agave Syrup,.5oz,Build,Rocks
Blackbeard,Lemon Juice,.5oz,Build,Rocks
Blackstar,Smirnoff Black Vodka,2oz,Build,Coupe
Blackstar,Star Anise Pod,1,Garnish,Coupe
Blackstar,Grapefruit Juice,.75oz,Build,Coupe
Blackstar,Lime Juice,.75oz,Build,Coupe
Blackstar,Borsci Sambuca,.25oz,Build,Coupe
Blackstar,Simple Syrup,.25oz,Build,Coupe
Blackthorn (English),House Orange Bitters,2dashes,Build,Coupe
Blackthorn (English),Plymouth Gin,1.5oz,Build,Coupe
Blackthorn (English),Orange Twist,1,Garnish,Coupe
Blackthorn (English),Carpano Antica Sweet Vermouth,.75oz,Build,Coupe
Blackthorn (English),Plymouth Sloe Gin,.75oz,Build,Coupe
Blackthorn Rose,Hendrick's Gin,2oz,Build,Coupe
Blackthorn Rose,Mymoune Rose Syrup,1barspoon,Build,Coupe
Blackthorn Rose,Lillet Rouge,.5oz,Build,Coupe
Blackthorn Rose,Plymouth Sloe Gin,.5oz,Build,Coupe
Blinker,Wild Turkey Rye Whiskey,2oz,Build,Coupe
Blinker,Grapefruit Juice,1oz,Build,Coupe
Blinker,Bonne Maman Raspberry Preserves,1barspoon,Build,Coupe
Blinker,Simple Syrup,.25oz,Build,Coupe
Blood and Sand,Famous Grouse Blended Scotch Whisky,1.5oz,Build,Coupe
Blood and Sand,Orange Juice,.75oz,Build,Coupe
Blood and Sand,Carpano Antica Sweet Vermouth,.5oz,Build,Coupe
Blood and Sand,Cherry Heering,.5oz,Build,Coupe
Bobby Burns,Benromach 12-Year-Old Single Malt Scotch Whisky,2oz,Build,Coupe
Bobby Burns,Benedictine,1barspoon,Build,Coupe
Bobby Burns,Lemon Twist,1,Garnish,Coupe
Bobby Burns,Martini Sweet Vermouth,.75oz,Build,Coupe
Brandy Crusta,Hine V.S.O.P. Cognac,2oz,Build,Wine
Brandy Crusta,Lemon Peel,1,Garnish,Wine
Brandy Crusta,Orange Peel,1,Garnish,Wine
Brandy Crusta,Lemon Juice,.75oz,Build,Wine
Brandy Crusta,Luxardo Maraschino Liqueur,.5oz,Build,Wine
Brandy Crusta,Marie Brizard Orange Curacao,.5oz,Build,Wine
Brandy Crusta,Sugar,,Rim,Wine
Brazilian Tea Punch,Sencha Green Tea-Infused Leblon Cachaca,2oz,Build,Rocks
Brazilian Tea Punch,Lemongrass Syrup,1barspoon,Build,Rocks
Brazilian Tea Punch,Lime Disc,1,Build,Rocks
Brewer's Breakfast,Honey Nut Cheerios,8,Garnish,Coupe
Brewer's Breakfast,Masumi Arabashiri Sake,2oz,Build,Coupe
Brewer's Breakfast,Glen Thunder Corn Whiskey,1oz,Build,Coupe
Brewer's Breakfast,Galliano L'Autentico,.25oz,Build,Coupe
Bronx,Beefeater Gin,2oz,Build,Coupe
Bronx,Orange Juice,.75oz,Build,Coupe
Bronx,Carpano Antica Sweet Vermouth,.5oz,Build,Coupe
Bronx,Dolin Dry Vermouth,.5oz,Build,Coupe
Brooklyn,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe
Brooklyn,Dolin Dry Vermouth,.75oz,Build,Coupe
Brooklyn,Amer Picon,.25oz,Build,Coupe
Brooklyn,Luxardo Maraschino Liqueur,.25oz,Build,Coupe
Brown Bomber,George Dickel No. 12 Tennessee Whisky,2oz,Build,Coupe
Brown Bomber,Lemon Twist,1,Garnish,Coupe
Brown Bomber,Lillet Blanc,.75oz,Build,Coupe
Brown Bomber,Suze,.5oz,Build,Coupe
Brown Derby,Maker's Mark Bourbon,2oz,Build,Coupe
Brown Derby,Grapefruit Juice,1oz,Build,Coupe
Brown Derby,Honey Syrup,.75oz,Build,Coupe
Bubbaloo,Peruvian Amargo Bitters,3dashes,Build,Coupe
Bubbaloo,Macchu Pisco,2.25oz,Build,Coupe
Bubbaloo,Carpano Antica Sweet Vermouth,.5oz,Build,Coupe
Bubbaloo,Rothman & Winter Orchard Apricot,.5oz,Build,Coupe
Buona Notte,Walnut-Infused Hine V.S.O.P. Cognac,2oz,Build,Rocks
Buona Notte,Orange Twist,1,Garnish,Rocks
Buona Notte,Yellow Chartreuse,.5oz,Build,Rocks
Buona Notte,Amaro Ciociaro,.25oz,Build,Rocks
Caf̩ Arroz,Horchata,2oz,Build,Coupe
Caf̩ Arroz,Gran Centenario Reposado Tequila,1.5oz,Build,Coupe
Caf̩ Arroz,Pinch Grated Cinnamon,1,Garnish,Coupe
Caf̩ Arroz,Kahlua,.5oz,Build,Coupe
Caipirinha,Beleza Pura Cachaca,2oz,Build,Rocks
Caipirinha,Demerara Sugar,2barspoons,Build,Rocks
Caipirinha,Lime Wedge,2,Muddle,Rocks
Cameron's Kick,Famous Grouse Blended Scotch Whisky,1oz,Build,Coupe
Cameron's Kick,Jameson Irish Whiskey,1oz,Build,Coupe
Cameron's Kick,Lemon Juice,.75oz,Build,Coupe
Cameron's Kick,Kassatly Chtaura Orgeat,.5oz,Build,Coupe
Caprice,House Orange Bitters,1dash,Build,Coupe
Caprice,Beefeater Gin,1.5,Build,Coupe
Caprice,Dolin Dry Vermouth,1.5,Build,Coupe
Caprice,Orange Twist,1,Garnish,Coupe
Caprice,Benedictine,0.5,Build,Coupe
Cavalier,Hine V.S.O.P. Cognac,2oz,Build,Coupe
Cavalier,House Orange Bitters,1dash,Build,Coupe
Cavalier,Bonne Maman Apricot Preserves,1barspoon,Build,Coupe
Cavalier,Lemon Peel,1,Garnish,Coupe
Cavalier,Lemon Juice,.75oz,Build,Coupe
Cavalier,Cointreau,.25oz,Build,Coupe
Cavalier,Kassatly Chtaura Orgeat,.25oz,Build,Coupe
Champagne Cocktail,Moet Imperial Champagne,6.5oz,Build,Flute
Champagne Cocktail,Angostura Bitters,2dashes,Build,Flute
Champagne Cocktail,Lemon Twist,1,Garnish,Flute
Champagne Cocktail,Sugar Cube,1,Build,Flute
Champs-Elysees,Hine V.S.O.P. Cognac,2oz,Build,Coupe
Champs-Elysees,Angostura Bitters,1dash,Build,Coupe
Champs-Elysees,Lemon Twist,1,Garnish,Coupe
Champs-Elysees,Lemon Juice,.75oz,Build,Coupe
Champs-Elysees,Green Chartreuse,.5oz,Build,Coupe
Champs-Elysees,Simple Syrup,.25oz,Build,Coupe
Cherry Pop,Plymouth Gin,2oz,Build,Rocks
Cherry Pop,Pitted Cherry,2,Muddle,Rocks
Cherry Pop,Lemon Juice,1oz,Build,Rocks
Cherry Pop,Pitted Cherry,1,Garnish,Rocks
Cherry Pop,Luxardo Maraschino Liqueur,.5oz,Build,Rocks
Cherry Pop,Simple Syrup,.5oz,Build,Rocks
Chien Chaud,Liquiteria Coconut Water,2oz,Build,Fizz
Chien Chaud,Angostura Bitters,2dashes,Build,Fizz
Chien Chaud,J.M. Rhum Blanc,1.5oz,Build,Fizz
Chien Chaud,Lime Wheel,1,Garnish,Fizz
Chien Chaud,Yellow Chartreuse,.25oz,Build,Fizz
Chrysanthemum,Dolin Dry Vermouth,2oz,Build,Coupe
Chrysanthemum,House Orange Bitters,1dash,Build,Coupe
Chrysanthemum,Orange Twist,1,Garnish,Coupe
Chrysanthemum,Benedictine,.75oz,Build,Coupe
Chrysanthemum,Vieux Pontarlier Absinthe,.25oz,Build,Coupe
Cinema Highball,Coca-Cola Classic,4.5oz,Build,Collins
Cinema Highball,Popcorn-Infused Flor de Cana Silver Dry Rum,2oz,Build,Collins
Cloister,Tanqueray Gin,1.5oz,Build,Coupe
Cloister,Grapefruit Twist,1,Garnish,Coupe
Cloister,Grapefruit Juice,.5oz,Build,Coupe
Cloister,Yellow Chartreuse,.5oz,Build,Coupe
Cloister,Lemon Juice,.25oz,Build,Coupe
Cloister,Simple Syrup,.25oz,Build,Coupe
Clover Club,Plymouth Gin,2oz,Build,Egg Coupe
Clover Club,Bonne Maman Raspberry Preserves,1barspoon,Build,Egg Coupe
Clover Club,Egg White,1,Build,Egg Coupe
Clover Club,Lemon Juice,.75oz,Build,Egg Coupe
Clover Club,Simple Syrup,.5oz,Build,Egg Coupe
Coconut Colada,Flor de Cana Silver Dry Rum,2oz,Build,Coupe
Coconut Colada,Ciaco Bella Coconut Sorbet,1scoop,Build,Coupe
Coconut Colada,Pineapple Juice,1oz,Build,Coupe
Coconut Colada,Lime Wheel,1,Garnish,Coupe
Coconut Colada,Lime Juice,.5oz,Build,Coupe
Coda,Lime Juice,1oz,Build,Fizz
Coda,Neisson Rhum Blanc,1oz,Build,Fizz
Coda,Pampero Aniversario Rum,1oz,Build,Fizz
Coda,Pinch Grated Nutmeg,1,Garnish,Fizz
Coda,Demerara Syrup,.5oz,Build,Fizz
Coda,St. Elizabeth Allspice Dram,.5oz,Build,Fizz
Coffee Cocktail,Martell V.S.O.P. Cognac,1.5oz,Build,Egg Coupe
Coffee Cocktail,Noval Black Port,1.5oz,Build,Egg Coupe
Coffee Cocktail,Pinch Grated Nutmeg,1,Garnish,Egg Coupe
Coffee Cocktail,Whole Egg,1,Build,Egg Coupe
Coffee Cocktail,Simple Syrup,.25oz,Build,Egg Coupe
Condiment Cocktail,Partida Reposado Tequila,2oz,Build,Coupe
Condiment Cocktail,The Bitter Truth Celery Bitters,2dashes,Build,Coupe
Condiment Cocktail,Gulden's Spicy Brown Mustard,1/8 tsp,Build,Coupe
Condiment Cocktail,Lime Twist,1,Garnish,Coupe
Condiment Cocktail,Benedictine,.75oz,Build,Coupe
Condiment Cocktail,Lime Juice,.5oz,Build,Coupe
Condiment Cocktail,Lustau Palo Cortado Sherry,.5oz,Build,Coupe
Conquistador,House Orange Bitters,2dashes,Build,Egg Coupe
Conquistador,Matusalem Gran Reserva Rum,1oz,Build,Egg Coupe
Conquistador,Siembra Azul Blanco Tequila,1oz,Build,Egg Coupe
Conquistador,Egg White,1,Build,Egg Coupe
Conquistador,Simple Syrup,.75oz,Build,Egg Coupe
Conquistador,Lemon Juice,.5oz,Build,Egg Coupe
Conquistador,Lime Juice,.5oz,Build,Egg Coupe
Corpse Reviver No. 2,Cointreau,.75oz,Build,Coupe
Corpse Reviver No. 2,Lemon Juice,.75oz,Build,Coupe
Corpse Reviver No. 2,Lillet Blanc,.75oz,Build,Coupe
Corpse Reviver No. 2,Plymouth Gin,.75oz,Build,Coupe
Corpse Reviver No. 2,Vieux Pontarlier Absinthe,,Rinse,Coupe
Cosmopolitan,Hangar One Buddha's Hand Vodka,2oz,Build,Coupe
Cosmopolitan,Orange Twist,1,Garnish,Coupe
Cosmopolitan,Cointreau,.75oz,Build,Coupe
Cosmopolitan,Lime Juice,.75oz,Build,Coupe
Cosmopolitan,Lakewood Cranberry Juice,.5oz,Build,Coupe
Cosmopolitan,Simple Syrup,.25oz,Build,Coupe
Cranberry Cobbler,Macerated Cranberry,4,Muddle,Rocks
Cranberry Cobbler,Macerated Cranberry,3,Garnish,Rocks
Cranberry Cobbler,Beefeater Gin,2oz,Build,Rocks
Cranberry Cobbler,Lemon Wedge,1,Muddle,Rocks
Cranberry Cobbler,Mint Sprig,1,Garnish,Rocks
Cranberry Cobbler,Orange Wheel,1,Muddle,Rocks
Cranberry Cobbler,Lustau East India Sherry,.75oz,Build,Rocks
Cranberry Cobbler,Cranberry Syrup,.5oz,Build,Rocks
Crimson Tide,Lemon Hart Overproof Rum,1.5oz,Build,Collins glass
Crimson Tide,Spiced Sorrel,1.5oz,Build,Collins glass
Crimson Tide,Candied Ginger,1,Garnish,Collins glass
Crimson Tide,Lime Wheel,1,Garnish,Collins glass
Crimson Tide,Club Soda,.75oz,Top,Collins glass
Crimson Tide,Lime Juice,.75oz,Build,Collins glass
Crimson Tide,Canton Ginger Liqueur,.5oz,Build,Collins glass
Cuzco,Barsol Quebranta Pisco,2oz,Build,Collins glass
Cuzco,Grapefruit Twist,1,Garnish,Collins glass
Cuzco,Aperol,.75oz,Build,Collins glass
Cuzco,Simple Syrup,.75oz,Build,Collins glass
Cuzco,Grapefruit Juice,.5oz,Build,Collins glass
Cuzco,Lemon Juice,.5oz,Build,Collins glass
Cuzco,Clear Creek Kirschwasser,,Rinse,Collins glass
Daiquiri,Banks 5 Island Rum,2oz,Build,Coupe
Daiquiri,Lime Wheel,1,Garnish,Coupe
Daiquiri,Lime Juice,.75oz,Build,Coupe
Daiquiri,Simple Syrup,.75oz,Build,Coupe
De La Louisiane,Peychaud's Bitters,3dashes,Build,Coupe
De La Louisiane,St. George Absinthe,3dashes,Build,Coupe
De La Louisiane,Brandied Cherry,3,Garnish,Coupe
De La Louisiane,Wild Turkey Rye Whiskey,2oz,Build,Coupe
De La Louisiane,Benedictine,.75oz,Build,Coupe
De La Louisiane,Dolin Sweet Vermouth,.75oz,Build,Coupe
Death Bed,Pampero Aniversario Rum,1oz,Build,Collins
Death Bed,Brandied Cherry,1,Garnish,Collins
Death Bed,Lime Wheel,1,Garnish,Collins
Death Bed,Barbancourt Rhum Blanc,.75oz,Build,Collins
Death Bed,Cherry Heering,.75oz,Build,Collins
Death Bed,Lime Juice,.75oz,Build,Collins
Death Bed,Pineapple Juice,.5oz,Build,Collins
Desert Rose,Rose-Infused Plymouth Gin,2oz,Build,Coupe
Desert Rose,Pink Rose Petal,1,Garnish,Coupe
Desert Rose,Lemon Juice,.75oz,Build,Coupe
Desert Rose,Perfect Purees of Napa Valley Prickly Pear Puree,.5oz,Build,Coupe
Desert Rose,Simple Syrup,.5oz,Build,Coupe
Deshler,Peychaud's Bitters,2dashes,Build,Coupe
Deshler,Dubonnet Rouge,1oz,Build,Coupe
Deshler,Rittenhouse Bonded Rye Whiskey,1.5oz,Build,Coupe
Deshler,Orange Twist,1,Garnish,Coupe
Deshler,Cointreau,.25oz,Build,Coupe
Dewey D.,Old Overholt Rye Whiskey,2oz,Build,Coupe
Dewey D.,Angostura Bitters,2dashes,Build,Coupe
Dewey D.,Orange Twist,1,Garnish,Coupe
Dewey D.,Lustau East India Sherry,.75oz,Build,Coupe
Dewey D.,Aperol,.5oz,Build,Coupe
Diamondback,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe
Diamondback,Laird's Bonded Apple Brandy,.5oz,Build,Coupe
Diamondback,Yellow Chartreuse,.5oz,Build,Coupe
Donizetti,Tanqueray Gin,2oz,Build,Coupe
Donizetti,Moet Imperial Champagne,1oz,Top,Coupe
Donizetti,Lemon Twist,1,Garnish,Coupe
Donizetti,Amaro Ciociaro,.25oz,Build,Coupe
Donizetti,Rothman & Winter Orchard Apricot,.25oz,Build,Coupe
