Drink,Ingredient,Amount,IngredientUse,Glass
Dry County Cocktail,George Dickel No. 12 Tennessee Whisky,2oz,Build,Coupe
Dry County Cocktail,The Bitter Truth Lemon Bitters,2dashes,Build,Coupe
Dry County Cocktail,Dolin Dry Vermouth,1oz,Build,Coupe
Dry County Cocktail,Lemon Twist,1,Garnish,Coupe
Dry County Cocktail,Canton Ginger Liqueur,.5oz,Build,Coupe
Duboudreau Cocktail,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe
Duboudreau Cocktail,Lemon Twist,1,Garnish,Coupe
Duboudreau Cocktail,Dubonnet Rouge,.75oz,Build,Coupe
Duboudreau Cocktail,Fernet Branca,.25oz,Build,Coupe
Duboudreau Cocktail,St. Germain Elderflower Liqueur,.25oz,Build,Coupe
Dulce de Leche,Don Julio Anejo Tequila,1.25oz,Build,Coupe
Dulce de Leche,Grapefruit Twist,1,Build,Coupe
Dulce de Leche,Pinch Grated Cinnamon,1,Garnish,Coupe
Dulce de Leche,Whole Egg,1,Build,Coupe
Dulce de Leche,Toro Albala Pedro Ximenez Sherry,.75oz,Build,Coupe
Dulce de Leche,Heavy Cream,.5oz,Build,Coupe
East India Cocktail,House Orange Bitters,2dashes,Build,Coupe
East India Cocktail,Martell V.S.O.P. Cognac,1.75oz,Build,Coupe
East India Cocktail,Orange Twist,1,Garnish,Coupe
East India Cocktail,Marie Brizard Orange Curacao,.5oz,Build,Coupe
East India Cocktail,Pineapple Juice,.5oz,Build,Coupe
East India Cocktail,Pampero Aniversario Rum,.25oz,Build,Coupe
East Village Athletic Club Cocktail,Siembra Azul Blanco Tequila,1.5oz,Build,Coupe
East Village Athletic Club Cocktail,Lemon Juice,.75oz,Build,Coupe
East Village Athletic Club Cocktail,Grand Marnier,.5oz,Build,Coupe
East Village Athletic Club Cocktail,Yellow Chartreuse,.5oz,Build,Coupe
Eclipse Cocktail,El Tesoro Anejo Tequila,2oz,Build,Coupe
Eclipse Cocktail,Lemon Twist,1,Garnish,Coupe
Eclipse Cocktail,Aperol,.75oz,Build,Coupe
Eclipse Cocktail,Cherry Heering,.75oz,Build,Coupe
Eclipse Cocktail,Lemon Juice,.75oz,Build,Coupe
Eclipse Cocktail,Del Maguey Vida Mezcal,,Rinse,Coupe
Edgewood,Grapefruit Juice,1oz,Build,Coupe
Edgewood,Plymouth Gin,1.5oz,Build,Coupe
Edgewood,Pinch Kosher Salt,1,Garnish,Coupe
Edgewood,Lillet Blanc,.5oz,Build,Coupe
Edgewood,Punt e Mes,.5oz,Build,Coupe
El Burro,House Ginger Beer,1oz,Build,Collins glass
El Burro,Siembra Azul Reposado Tequila,1.5oz,Build,Collins glass
El Burro,Candied Ginger,1,Garnish,Collins glass
El Burro,Lime Wheel,1,Garnish,Collins glass
El Burro,Lime Juice,.75oz,Build,Collins glass
El Burro,Pineapple Juice,.75oz,Build,Collins glass
El Burro,Simple Syrup,.5oz,Build,Collins glass
El Burro,Vieux Pontarlier Absinthe,.25oz,Build,Collins glass
El Diablo,Siembra Azul Blanco Tequila,2oz,Build,Rocks
El Diablo,House Ginger Beer,1oz,Build,Rocks
El Diablo,Candied Ginger,1,Garnish,Rocks
El Diablo,Lemon Wheel,1,Garnish,Rocks
El Diablo,Lemon Juice,.75oz,Build,Rocks
El Diablo,Theurlet Creme de Cassis,.75oz,Build,Rocks
El Molino,Sombra Mezcal,1.5oz,Build,Coupe
El Molino,Lustau Palo Cortado Sherry,.75oz,Build,Coupe
El Molino,Marie Brizard White Creme de Cacao,.25oz,Build,Coupe
El Molino,St. Elizabeth Allspice Dram,.25oz,Build,Coupe
El Puente,Jose Cuervo Platino Tequila,1.5oz,Build,Coupe
El Puente,Grapefruit Twist,1,Garnish,Coupe
El Puente,Grapefruit Juice,.75oz,Build,Coupe
El Puente,Martini Bianco Vermouth,.5oz,Build,Coupe
El Puente,St. Germain Elderflower Liqueur,.5oz,Build,Coupe
El Puente,Del Maguey Vida Mezcal,,Rinse,Coupe
Ephemeral,Ransom Old Tom Gin,2oz,Build,Coupe
Ephemeral,Dolin Blanc Vermouth,1oz,Build,Coupe
Ephemeral,The Bitter Truth Celery Bitters,1dash,Build,Coupe
Ephemeral,St. Germain Elderflower Liqueur,1barspoon,Build,Coupe
Ephemeral,Grapefruit Twist,1,Garnish,Coupe
Espresso Bongo,Appleton Estate Reserve Rum,2oz,Build,Tiki Mug
Espresso Bongo,Boiron Passion Fruit Puree,.5oz,Build,Tiki Mug
Espresso Bongo,Illy Espresso Liqueur,.5oz,Build,Tiki Mug
Espresso Bongo,Lime Juice,.5oz,Build,Tiki Mug
Espresso Bongo,Orange Juice,.5oz,Build,Tiki Mug
Espresso Bongo,Pineapple Juice,.5oz,Build,Tiki Mug
Espresso Bongo,Simple Syrup,.5oz,Build,Tiki Mug
Falling Leaves,Peychaud's Bitters,3dashes,Build,Coupe
Falling Leaves,Dr. Konstantin Frank Dry Riesling,2oz,Build,Coupe
Falling Leaves,Clear Creek Pear Brandy,1oz,Build,Coupe
Falling Leaves,Star Anise Pod,1,Garnish,Coupe
Falling Leaves,Marie Brizard Orange Curacao,.5oz,Build,Coupe
Falling Leaves,Honey Syrup,.25oz,Build,Coupe
Field Cocktail,Pierre Ferrand Ambre Cognac,2oz,Build,Coupe
Field Cocktail,Noilly Prat Dry Vermouth,1oz,Build,Coupe
Field Cocktail,Pineapple Leaf,1,Garnish,Coupe
Field Cocktail,Pineapple Juice,.75oz,Build,Coupe
Figetaboutit,Brandied Cherry,3,Garnish,Coupe
Figetaboutit,Bulleit Bourbon,2oz,Build,Coupe
Figetaboutit,Angostura Bitters,2dashes,Build,Coupe
Figetaboutit,St. Dalfour Fig Jam,1barspoon,Build,Coupe
Figetaboutit,Orange Twist,1,Build,Coupe
Figetaboutit,Lemon Juice,.75oz,Build,Coupe
Figetaboutit,Luxardo Amaretto,.25oz,Build,Coupe
Fish House Punch,Gosling's Black Seal Rum,1.5oz,Build,Rocks
Fish House Punch,Pinch Grated Nutmeg,1,Garnish,Rocks
Fish House Punch,Lemon Juice,.5oz,Build,Rocks
Fish House Punch,Mathilde Peche,.5oz,Build,Rocks
Fish House Punch,Pierre Ferrand Ambre Cognac,.5oz,Build,Rocks
Fish House Punch,Simple Syrup,.5oz,Build,Rocks
Fish House Punch,Lime Juice,.25oz,Build,Rocks
Flora Astoria,Lavender Tincture,4dashes,Build,Coupe
Flora Astoria,Hendrick's Gin,2oz,Build,Coupe
Flora Astoria,John D. Taylor's Velvet Falernum,1barspoon,Build,Coupe
Flora Astoria,Dried Lavender Sprig,1,Garnish,Coupe
Flora Astoria,Dolin Blanc Vermouth,.5oz,Build,Coupe
Flora Astoria,Dolin Dry Vermouth,.5oz,Build,Coupe
Flying Dutchman,Luxardo Maraschino Liqueur,1barspoon,Build,Coupe
Flying Dutchman,Brandied Cherry,1,Garnish,Coupe
Flying Dutchman,Bols Genever,.75oz,Build,Coupe
Flying Dutchman,Clear Creek Plum Brandy,.75oz,Build,Coupe
Flying Dutchman,Creme Yvette,.5oz,Build,Coupe
Flying Dutchman,Lemon Juice,.5oz,Build,Coupe
Flying Dutchman,Pineapple Juice,.5oz,Build,Coupe
Fog Cutter,Bacardi 8 Rum,1oz,Build,Tiki Mug
Fog Cutter,Hine V.S.O.P. Cognac,1oz,Build,Tiki Mug
Fog Cutter,Lemon Juice,1.5oz,Build,Tiki Mug
Fog Cutter,Mint Sprig,1,Garnish,Tiki Mug
Fog Cutter,Orange Juice,.75oz,Build,Tiki Mug
Fog Cutter,Kassatly Chtaura Orgeat,.5oz,Build,Tiki Mug
Fog Cutter,Lustau Cream Sherry,.5oz,Float,Tiki Mug
Fog Cutter,Tanqueray Gin,.5oz,Build,Tiki Mug
Foreign Legion,Fee Brothers Rhubarb Bitters,1dash,Build,Rocks
Foreign Legion,Marie Brizard Dark Creme de Cacao,1barspoon,Build,Rocks
Foreign Legion,Mount Gay X.O. Rum,1.5oz,Build,Rocks
Foreign Legion,Orange Twist,1,Garnish,Rocks
Foreign Legion,Aperol,.5oz,Build,Rocks
Foreign Legion,Dubonnet Rouge,.5oz,Build,Rocks
Foreign Legion,Lustau Manzanilla Sherry,.5oz,Build,Rocks
Framboise Fizz,Raspberry,3,Garnish,Egg Coupe
Framboise Fizz,Oud Beersel Framboise,2oz,Top,Egg Coupe
Framboise Fizz,Siete Leguas Reposado Tequila,1.5oz,Build,Egg Coupe
Framboise Fizz,Lemon Juice,.75oz,Build,Egg Coupe
Framboise Fizz,Marie Brizard Dark Creme de Cacao,.75oz,Build,Egg Coupe
Frankfort Rose,Hibiscus-Infused Bernheim Wheat Whiskey,2oz,Build,Egg Coupe
Frankfort Rose,Egg White,1,Build,Egg Coupe
Frankfort Rose,Lemon Twist,1,Garnish,Egg Coupe
Frankfort Rose,Lemon Juice,.75oz,Build,Egg Coupe
Frankfort Rose,Simple Syrup,.75oz,Build,Egg Coupe
French 75,Moet Imperial Champagne,1oz,Top,Coupe
French 75,Tanqueray Gin,1oz,Build,Coupe
French 75,Lemon Twist,1,Garnish,Coupe
French 75,Lemon Juice,.5oz,Build,Coupe
French 75,Simple Syrup,.5oz,Build,Coupe
French Maid,Mint Leaf,44355,Muddle,Collins glass
French Maid,Cucumber Wheel,3,Muddle,Collins glass
French Maid,House Ginger Beer,1oz,Build,Collins glass
French Maid,Hine V.S.O.P. Cognac,1.5oz,Build,Collins glass
French Maid,Cucumber Wheel,1,Garnish,Collins glass
French Maid,Mint Sprig,1,Garnish,Collins glass
French Maid,Lime Juice,.75oz,Build,Collins glass
French Maid,Simple Syrup,.75oz,Build,Collins glass
French Maid,John D. Taylor's Velvet Falernum,.25oz,Build,Collins glass
Fresa Verde,Gran Centenario Blanco Tequila,2oz,Build,Coupe
Fresa Verde,Green Pepper Slice,2,Muddle,Coupe
Fresa Verde,Strawberry,2,Muddle,Coupe
Fresa Verde,Strawberry Slice,1,Garnish,Coupe
Fresa Verde,Lime Juice,.75oz,Build,Coupe
Fresa Verde,Al Wadi Pomegranate Molasses,.25oz,Build,Coupe
Frisco,Old Potrero Hotaling's Rye Whiskey,2oz,Build,Coupe
Frisco,Lemon Twist,1,Garnish,Coupe
Frisco,Benedictine,.5oz,Build,Coupe
Gilchrist,Fee Brothers Grapefruit Bitters,2dashes,Build,Coupe
Gilchrist,Compass Box Asyla Blended Scotch Whisky,1.25oz,Build,Coupe
Gilchrist,Lemon Twist,1,Garnish,Coupe
Gilchrist,Clear Creek Pear Brandy,.75oz,Build,Coupe
Gilchrist,Grapefruit Juice,.75oz,Build,Coupe
Gilchrist,Averna Amaro,.5oz,Build,Coupe
Gimlet,Plymouth Gin,2oz,Build,Coupe
Gimlet,Lime Wheel,1,Garnish,Coupe
Gimlet,Lime Cordial,.75oz,Build,Coupe
Gimlet,Lime Juice,.75oz,Build,Coupe
Gin & Tonic,Club Soda,3.5oz,Build,Collins
Gin & Tonic,Tanqueray Gin,2oz,Build,Collins
Gin & Tonic,Lime Wedge,1,Garnish,Collins
Gin & Tonic,Tonic Syrup,.75oz,Build,Collins
Girl from Jerez,Mae de Ouro Cachaca,1oz,Build,Coupe
Girl from Jerez,Rhum Clement V.S.O.P.,1oz,Build,Coupe
Girl from Jerez,St. Elizabeth Allspice Dram,1barspoon,Build,Coupe
Girl from Jerez,Pinch Grated Nutmeg,1,Garnish,Coupe
Girl from Jerez,Lime Juice,.75oz,Build,Coupe
Girl from Jerez,Lustau Pedro Ximenez Sherry,.5oz,Build,Coupe
Gold Coast,Karlsson's Gold Vodka,2oz,Build,Rocks
Gold Coast,Diluted Aftel Black Pepper Essence,2,Spritz,Rocks
Gold Coast,Dill Sprig,1,Muddle,Rocks
Gold Coast,Carlshamns Flaggpunch,.5oz,Build,Rocks
Gold Rush,Elijah Craig 12-Year-Old Bourbon,2oz,Build,Rocks
Gold Rush,Honey Syrup,1oz,Build,Rocks
Gold Rush,Lemon Juice,.75oz,Build,Rocks
Golden Star Fizz,Golden Star Sparkling White Jasmine Tea,3oz,Build,Fizz
Golden Star Fizz,Cucumber Slice,3,Muddle,Fizz
Golden Star Fizz,Krogstad Aquavit,2oz,Build,Fizz
Golden Star Fizz,Cucumber Slice,1,Garnish,Fizz
Golden Star Fizz,Dill Sprig,1,Muddle,Fizz
Golden Star Fizz,Lemon Juice,.75oz,Build,Fizz
Golden Star Fizz,Pineapple Juice,.75oz,Build,Fizz
Golden Star Fizz,St. George Absinthe,,Rinse,Fizz
Great Pumpkin,Southampton Pumpkin Ale,2oz,Build,Fizz
Great Pumpkin,Laird's Bonded Apple Brandy,1oz,Build,Fizz
Great Pumpkin,Rittenhouse Bonded Rye Whiskey,1oz,Build,Fizz
Great Pumpkin,Pinch Grated Nutmeg,1,Garnish,Fizz
Great Pumpkin,Whole Egg,1,Build,Fizz
Great Pumpkin,Deep Mountain Grade B Maple Syrup,.5oz,Build,Fizz
Green Deacon,Grapefruit Juice,1oz,Build,Coupe
Green Deacon,Plymouth Gin,1.5oz,Build,Coupe
Green Deacon,Plymouth Sloe Gin,.75oz,Build,Coupe
Green Deacon,St. George Absinthe,,Rinse,Coupe
Green Harvest,Concord Grape,4,Muddle,Fizz
Green Harvest,Concord Grape,3,Garnish,Fizz
Green Harvest,Chilled Brewed Hibiscus Tea,2oz,Build,Fizz
Green Harvest,Jose Cuervo Platino Tequila,1.5oz,Build,Fizz
Green Harvest,Green Chartreuse,.5oz,Build,Fizz
Greenpoint,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe
Greenpoint,Punt e Mes,1oz,Build,Coupe
Greenpoint,Angostura Bitters,1dash,Build,Coupe
Greenpoint,Yellow Chartreuse,1barspoon,Build,Coupe
Hanky Panky,Beefeater Gin,2oz,Build,Coupe
Hanky Panky,Carpano Antica Sweet Vermouth,1.5oz,Build,Coupe
Hanky Panky,Orange Twist,1,Garnish,Coupe
Hanky Panky,Fernet Branca,.25oz,Build,Coupe
Harvest Moon,Abbott's Bitters,3dashes,Build,Coupe
Harvest Moon,Lillet Blanc,1oz,Build,Coupe
Harvest Moon,Wild Turkey Rye Whiskey,1.5oz,Build,Coupe
Harvest Moon,Orange Twist,1,Garnish,Coupe
Harvest Moon,Laird's Bonded Apple Brandy,.5oz,Build,Coupe
Harvest Moon,Green Chartreuse,.25oz,Build,Coupe
Harvest Sling,Laird's Bonded Apple Brandy,1.5oz,Build,Collins glass
Harvest Sling,Orange-Cherry Flag,1,Garnish,Collins glass
Harvest Sling,Benedictine,.5oz,Build,Collins glass
Harvest Sling,Cherry Heering,.5oz,Build,Collins glass
Harvest Sling,House Ginger Beer,.5oz,Build,Collins glass
Harvest Sling,Lemon Juice,.5oz,Build,Collins glass
Harvest Sling,Martini Sweet Vermouth,.5oz,Build,Collins glass
Heirloom,Concord Grape,7,Muddle,Coupe
Heirloom,Afel Anise Hyssop Essence,2,Spritz,Coupe
Heirloom,Hayman's Old Tom Gin,1.5oz,Build,Coupe
Heirloom,Cynar,.5oz,Build,Coupe
Heirloom,Lime Juice,.5oz,Build,Coupe
Heirloom,Strega,.25oz,Build,Coupe
Hemingway Daiquiri,Banks 5 Island Rum,2oz,Build,Coupe
Hemingway Daiquiri,Lime Wheel,1,Garnish,Coupe
Hemingway Daiquiri,Lime Juice,.75oz,Build,Coupe
Hemingway Daiquiri,Grapefruit Juice,.5oz,Build,Coupe
Hemingway Daiquiri,Luxardo Maraschino Liqueur,.5oz,Build,Coupe
Henry Hudson,Channing Daughters Scuttlehole Chardonnay,1oz,Build,Rocks
Henry Hudson,Bols Genever,1.5oz,Build,Rocks
Henry Hudson,Pinch Grated Nutmeg,1,Garnish,Rocks
Henry Hudson,Lemon Juice,.5oz,Build,Rocks
Henry Hudson,Simple Syrup,.5oz,Build,Rocks
Henry Hudson,van Oosten Batavia Arrack,.25oz,Build,Rocks
Honeymoon Cocktail,Laird's Bonded Apple Brandy,2oz,Build,Coupe
Honeymoon Cocktail,Benedictine,.5oz,Build,Coupe
Honeymoon Cocktail,Lemon Juice,.5oz,Build,Coupe
Honeymoon Cocktail,Marie Brizard Orange Curacao,.5oz,Build,Coupe
Hot Buttered Pisco,Hot Water,6oz,Build,Mug
Hot Buttered Pisco,Spiced Macchu Pisco,2oz,Build,Mug
Hot Buttered Pisco,Vanilla Butter,1barspoon,Build,Mug
Hot Buttered Pisco,Pinch Grated Nutmeg,1,Garnish,Mug
Hot Buttered Pisco,Sweetened Whipped Cream,,Top,Mug
Hotel D'Alsace,Bushmills Irish Whiskey,2oz,Build,Rocks
Hotel D'Alsace,Rosemary Sprig,1,Garnish,Rocks
Hotel D'Alsace,Rosemary Sprig,1,Muddle,Rocks
Hotel D'Alsace,Benedictine,.5oz,Build,Rocks
Hotel D'Alsace,Cointreau,.5oz,Build,Rocks
Hotel Nacional Special,Bacardi 8 Rum,2oz,Build,Coupe
Hotel Nacional Special,Pineapple Juice,1oz,Build,Coupe
Hotel Nacional Special,Lime Wheel,1,Garnish,Coupe
Hotel Nacional Special,Lime Juice,.5oz,Build,Coupe
Hotel Nacional Special,Simple Syrup,.5oz,Build,Coupe
Hotel Nacional Special,Rothman & Winter Orchard Apricot,.25oz,Build,Coupe
Imperial Blueberry Fizz,Blueberry,2tbsp,Muddle,Egg Coupe
Imperial Blueberry Fizz,Moet Imperial Champagne,2.5oz,Top,Egg Coupe
Imperial Blueberry Fizz,Hine V.S.O.P. Cognac,1.5oz,Build,Egg Coupe
Imperial Blueberry Fizz,Edible Orchid,1,Garnish,Egg Coupe
Imperial Blueberry Fizz,Creme Yvette,.5oz,Build,Egg Coupe
Imperial Silver Corn Fizz,Corn Water,1oz,Build,Egg Coupe
Imperial Silver Corn Fizz,Moet Imperial Champagne,1oz,Top,Egg Coupe
Imperial Silver Corn Fizz,George Dickel No. 12 Tennessee Whisky,1.5oz,Build,Egg Coupe
Imperial Silver Corn Fizz,Egg White,1,Build,Egg Coupe
Imperial Silver Corn Fizz,Honey Syrup,.5oz,Build,Egg Coupe
Improved Whiskey Cocktail,Rittenhouse Bonded Rye Whiskey,2oz,Build,Rocks
Improved Whiskey Cocktail,Angostura Bitters,2dashes,Build,Rocks
Improved Whiskey Cocktail,Lemon Twist,1,Garnish,Rocks
Improved Whiskey Cocktail,Luxardo Maraschino Liqueur,.25oz,Build,Rocks
Improved Whiskey Cocktail,Simple Syrup,.25oz,Build,Rocks
Improved Whiskey Cocktail,Vieux Pontarlier Absinthe,,Rinse,Rocks
Jack Rose,Laird's Bonded Apple Brandy,2oz,Build,Coupe
Jack Rose,House Grenadine,.75oz,Build,Coupe
Jack Rose,Lemon Juice,.75oz,Build,Coupe
Japanese Cocktail,Hine V.S.O.P. Cognac,2oz,Build,Coupe
Japanese Cocktail,Angostura Bitters,2dashes,Build,Coupe
Japanese Cocktail,Lemon Twist,1,Garnish,Coupe
Japanese Cocktail,Kassatly Chtaura Orgeat,.5oz,Build,Coupe
Japanese Courage,"Kamoizumi ""Shusen"" Sake",6oz,Build,Mug
Japanese Courage,Clove,6,Garnish,Mug
Japanese Courage,Bols Genever,1oz,Build,Mug
Japanese Courage,Lemon Wheel,1,Garnish,Mug
Japanese Courage,Yellow Chartreuse,.5oz,Build,Mug
Japanese Courage,Canton Ginger Liqueur,.25oz,Build,Mug
Japanese Courage,Honey Syrup,.25oz,Build,Mug
Jimmie Roosevelt,Moet Imperial Champagne,2oz,Top,Egg Coupe
Jimmie Roosevelt,Remy Martin V.S.O.P. Cognac,1oz,Build,Egg Coupe
Jimmie Roosevelt,Green Chartreuse,1barspoon,Float,Egg Coupe
Jimmie Roosevelt,Demerara Sugar cube soaked in Angostura Bitters,1,Build,Egg Coupe
Johnny Apple Collins,Fever-Tree Bitter Lemon Soda,2oz,Top,Collins glass
Johnny Apple Collins,The Bitter Truth Jerry Thomas Bitters,2dashes,Build,Collins glass
Johnny Apple Collins,Maker's Mark Bourbon,1.5oz,Build,Collins glass
Johnny Apple Collins,Lemon Twist,1,Garnish,Collins glass
Johnny Apple Collins,Lemon Juice,.75oz,Build,Collins glass
Johnny Apple Collins,Schonauer Apfel Schnapps,.75oz,Build,Collins glass
Judgment Day,St. Elizabeth Allspice Dram,2,Spritz,Egg Coupe
Judgment Day,Macchu Pisco,1.5oz,Build,Egg Coupe
Judgment Day,Egg White,1,Build,Egg Coupe
Judgment Day,Lemon Juice,.5oz,Build,Egg Coupe
Judgment Day,Lime Juice,.5oz,Build,Egg Coupe
Judgment Day,Simple Syrup,.5oz,Build,Egg Coupe
Judgment Day,St. Germain Elderflower Liqueur,.5oz,Build,Egg Coupe
Judgment Day,Pernod,,Rinse,Egg Coupe
Junior,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe
Junior,Angostura Bitters,2dashes,Build,Coupe
Junior,Lime Juice,.75oz,Build,Coupe
Junior,Benedictine,.5oz,Build,Coupe
Kansai Kick,Yamazaki 12-Year-Old Japanese Single Malt Whisky,1.5oz,Build,Coupe
Kansai Kick,Blandy's Sercial Madeira,.75oz,Build,Coupe
Kansai Kick,Lime Juice,.75oz,Build,Coupe
Kansai Kick,Kassatly Chtaura Orgeat,.4oz,Build,Coupe
Kin Kan,Kumquat Syrup,1oz,Build,Coupe
Kin Kan,Beefeater Gin,1.5oz,Build,Coupe
Kin Kan,Lemon Juice,.75oz,Build,Coupe
Kin Kan,St. Germain Elderflower Liqueur,,Rinse,Coupe
Kina Miele,Dolin Dry Vermouth,1oz,Build,Rocks
Kina Miele,The Bitter Truth Lemon Bitters,1dash,Build,Rocks
Kina Miele,Grapefruit Twist,1,Garnish,Rocks
Kina Miele,Cocchi Americano,.75oz,Build,Rocks
Kina Miele,Nonino Gioiello,.5oz,Build,Rocks
Kina Miele,Clear Creek Pear Brandy,.25oz,Build,Rocks
King Bee,Barsol Quebranta Pisco,1.5oz,Build,Coupe
King Bee,Lemon Juice,.75oz,Build,Coupe
King Bee,Barenjager Honey Liqueur,.5oz,Build,Coupe
King Bee,Benedictine,.5oz,Build,Coupe
King Bee,Lustau Palo Cortado Sherry,.5oz,Float,Coupe
Koyo,"Masumi ""Okuden"" Junmai Sake",2oz,Build,Coupe
Koyo,Lemon Twist,1,Garnish,Coupe
Koyo,Dubonnet Rouge,.5oz,Build,Coupe
Koyo,Cynar,.25oz,Build,Coupe
Koyo,Yellow Chartreuse,.25oz,Build,Coupe
Koyo,St. Germain Elderflower Liqueur,,Rinse,Coupe
L.E.S. Globetrotter,Wild Turkey Rye Whiskey,1.25oz,Build,Rocks
L.E.S. Globetrotter,Orange Twist,1,Garnish,Rocks
L.E.S. Globetrotter,Benedictine,.75oz,Build,Rocks
L.E.S. Globetrotter,Hine V.S.O.P. Cognac,.75oz,Build,Rocks
L.E.S. Globetrotter,Rhum Clement Creole Shrubb,.5oz,Build,Rocks
La Florida Cocktail,Banks 5 Island Rum,2oz,Build,Coupe
La Florida Cocktail,House Grenadine,1barspoon,Build,Coupe
La Florida Cocktail,Lime Wheel,1,Garnish,Coupe
La Florida Cocktail,Lime Juice,.75oz,Build,Coupe
La Florida Cocktail,Marie Brizard White Creme de Cacao,.5oz,Build,Coupe
La Florida Cocktail,Martini Sweet Vermouth,.25oz,Build,Coupe
La Louche,Lillet Rouge,1oz,Build,Coupe
La Louche,Hendrick's Gin,1.5oz,Build,Coupe
La Louche,Lime Juice,.5oz,Build,Coupe
La Louche,Simple Syrup,.25oz,Build,Coupe
La Louche,Yellow Chartreuse,.25oz,Build,Coupe
La Perla,Lustau Manzanilla Sherry,1.5oz,Build,Coupe
La Perla,Partida Reposado Tequila,1.5oz,Build,Coupe
La Perla,Lemon Twist,1,Garnish,Coupe
La Perla,Mathilde Pear Liqueur,.75oz,Build,Coupe
Lacrimosa,Rittenhouse Bonded Rye Whiskey,2oz,Build,Rocks
Lacrimosa,Flamed Orange Twist,1,Garnish,Rocks
Lacrimosa,Amaro Ciociaro,.75oz,Build,Rocks
Lacrimosa,Luxardo Bitter,.75oz,Build,Rocks
Lake George,Glenlivet 12-Year-Old Single Malt Scotch Whisky,1oz,Build,Coupe
Lake George,Jameson Irish Whiskey,1oz,Build,Coupe
Lake George,Drambuie,.5oz,Build,Coupe
Lake George,Lemon Juice,.5oz,Build,Coupe
Last Word,Green Chartreuse,.75oz,Build,Coupe
Last Word,Lime Juice,.75oz,Build,Coupe
Last Word,Luxardo Maraschino Liqueur,.75oz,Build,Coupe
Last Word,Tanqueray Gin,.75oz,Build,Coupe
Lawn Dart,Partida Blanco Tequila,1oz,Build,Collins
Lawn Dart,Tanqueray Gin,1oz,Build,Collins
Lawn Dart,Green Pepper Slice,1,Muddle,Collins
Lawn Dart,Lime Wheel,1,Garnish,Collins
Lawn Dart,Umbrella,1,Garnish,Collins
Lawn Dart,Agave Syrup,.75oz,Build,Collins
Lawn Dart,Lime Juice,.75oz,Build,Collins
Lawn Dart,Green Chartreuse,.25oz,Build,Collins
Le Pere Bis,Freshly Brewed Chamomile Tea,4oz,Build,Mug
Le Pere Bis,Clove,3,Garnish,Mug
Le Pere Bis,Ardbeg 10-Year-Old Single Malt Scotch Whisky,1.5oz,Build,Mug
Le Pere Bis,Lemon Wedge,1,Garnish,Mug
Le Pere Bis,Honey Syrup,.5oz,Build,Mug
Le Pere Bis,St. Germain Elderflower Liqueur,.5oz,Build,Mug
Leapfrog,Mint Leaf,6,Muddle,Coupe
Leapfrog,House Orange Bitters,2dashes,Build,Coupe
Leapfrog,Plymouth Gin,1oz,Build,Coupe
Leapfrog,Lemon Juice,.75oz,Build,Coupe
Leapfrog,Rothman & Winter Orchard Apricot,.5oz,Build,Coupe
Leapfrog,Simple Syrup,.25oz,Build,Coupe
Left Coast,Rothman & Winter Creme de Violette,1barspoon,Build,Coupe
Left Coast,Anchor Genevieve,.75oz,Build,Coupe
Left Coast,Clear Creek Pear Brandy,.75oz,Build,Coupe
