Drink,Ingredient,Amount,IngredientUse,Glass
Left Coast,Lemon Juice,.5oz,Build,Coupe
Left Coast,Luxardo Maraschino Liqueur,.5oz,Build,Coupe
Left Coast,Pineapple Juice,.5oz,Build,Coupe
Left Hand Cocktail,Brandied Cherry,3,Garnish,Coupe
Left Hand Cocktail,Bittermens Xocolatl Mole Bitters,2dashes,Build,Coupe
Left Hand Cocktail,Elijah Craig 12-Year-Old Bourbon,1.5oz,Build,Coupe
Left Hand Cocktail,Campari,.75oz,Build,Coupe
Left Hand Cocktail,Carpano Antica Sweet Vermouth,.75oz,Build,Coupe
Lion's Tooth,Dandelion Root-Infused Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe
Lion's Tooth,Lustau Palo Cortado Sherry,.75oz,Build,Coupe
Lion's Tooth,Yellow Chartreuse,.5oz,Build,Coupe
Lion's Tooth,St. Germain Elderflower Liqueur,.25oz,Build,Coupe
Little Bit Country,Bulleit Bourbon,2oz,Build,Coupe
Little Bit Country,Angostura Bitters,1dash,Build,Coupe
Little Bit Country,House Orange Bitters,1dash,Build,Coupe
Little Bit Country,Flamed Orange Twist,1,Garnish,Coupe
Little Bit Country,Jalapeno Slice with few seeds,1,Muddle,Coupe
Little Bit Country,Lemon Juice,.75oz,Build,Coupe
Little Bit Country,Deep Mountain Grade B Maple Syrup,.5oz,Build,Coupe
Little Bit Country,Luxardo Maraschino Liqueur,.25oz,Build,Coupe
Luau,Large Straw,2,Garnish,Rocks
Luau,Angostura Bitters,1dash,Build,Rocks
Luau,Lime Wheel,1,Garnish,Rocks
Luau,Orange Wheel,1,Garnish,Rocks
Luau,Umbrella,1,Garnish,Rocks
Luau,Appleton Estate V/X Rum,.75oz,Build,Rocks
Luau,El Dorado 15-Year-Old Rum,.75oz,Build,Rocks
Luau,Wray & Nephew Overproof Rum,.75oz,Build,Rocks
Luau,Lime Juice,.5oz,Build,Rocks
Luau,Simple Syrup,.5oz,Build,Rocks
Luau,Boiron Passion Fruit Puree,.25oz,Build,Rocks
Luau,Kassatly Chtaura Orgeat,.25oz,Build,Rocks
Mae West Royal Diamond Fizz,Whiskey-soaked Goji Berry,3,Garnish,Egg Coupe
Mae West Royal Diamond Fizz,Goji Berry-Infused Four Roses Single Barrel Bourbon,2oz,Build,Egg Coupe
Mae West Royal Diamond Fizz,Grapefruit Juice,1oz,Build,Egg Coupe
Mae West Royal Diamond Fizz,Whole Egg,1,Build,Egg Coupe
Mae West Royal Diamond Fizz,Pama Pomegranate Liqueur,.5oz,Build,Egg Coupe
Mae West Royal Diamond Fizz,Cayenne,,Rim,Egg Coupe
Mae West Royal Diamond Fizz,Cocoa Powder,,Rim,Egg Coupe
Mae West Royal Diamond Fizz,Sugar,,Rim,Egg Coupe
Mai-Tai,Banks 5 Island Rum,1oz,Build,Rocks
Mai-Tai,Lime Juice,1oz,Build,Rocks
Mai-Tai,Rhum Clement V.S.O.P.,1oz,Build,Rocks
Mai-Tai,Mint Sprig,1,Garnish,Rocks
Mai-Tai,Kassatly Chtaura Orgeat,.5oz,Build,Rocks
Mai-Tai,Marie Brizard Orange Curacao,.5oz,Build,Rocks
Manhattan,Brandied Cherry,3,Garnish,Coupe
Manhattan,Wild Turkey Rye Whiskey,2oz,Build,Coupe
Manhattan,Angostura Bitters,2dashes,Build,Coupe
Manhattan,Martini Sweet Vermouth,1oz,Build,Coupe
Margarita,El Tesoro Platinum Tequila,2oz,Build,Rocks
Margarita,Lime Wheel,1,Garnish,Rocks
Margarita,Cointreau,.75oz,Build,Rocks
Margarita,Lime Juice,.75oz,Build,Rocks
Margarita,Agave Syrup,.25oz,Build,Rocks
Mariner,Compass Box Oak Cross Blended Malt Scotch Whisky,2oz,Build,Rocks
Mariner,Lemon Twist,1,Garnish,Rocks
Mariner,Black Cardamom Syrup,.5oz,Build,Rocks
Mariner,Lemon Juice,.25oz,Build,Rocks
Mariner,Pineapple Juice,.25oz,Build,Rocks
Martinez,Adam Elmegirab's Boker's Bitters,2dashes,Build,Coupe
Martinez,Dolin Sweet Vermouth,1.5oz,Build,Coupe
Martinez,Hayman's Old Tom Gin,1.5oz,Build,Coupe
Martinez,Orange Twist,1,Garnish,Coupe
Martinez,Luxardo Maraschino Liqueur,.25oz,Build,Coupe
Martini,Plymouth Gin,3oz,Build,Coupe
Martini,Dolin Dry Vermouth,1oz,Build,Coupe
Martini,Lemon Twist,1,Garnish,Coupe
Mary Pickford,Banks 5 Island Rum,2oz,Build,Coupe
Mary Pickford,Pineapple Juice,.75oz,Build,Coupe
Mary Pickford,Luxardo Maraschino Liqueur,.5oz,Build,Coupe
Mary Pickford,House Grenadine,.25oz,Build,Coupe
Masataka Swizzle,Peychaud's Bitters,3dashes,Garnish,Rocks
Masataka Swizzle,Demerara Syrup,1barspoon,Build,Rocks
Masataka Swizzle,Nikka Taketsuru 12-Year-Old Japanese Malt Whisky,1.5oz,Build,Rocks
Masataka Swizzle,Mint Sprig,1,Garnish,Rocks
Masataka Swizzle,Lemon Juice,.5oz,Build,Rocks
Masataka Swizzle,Luxardo Amaretto,.5oz,Build,Rocks
Master Cleanse,Laird's Bonded Apple Brandy,2oz,Build,Coupe
Master Cleanse,Herb Pharm Goldenseal Tincture,20drops,Build,Coupe
Master Cleanse,Jalapeno Slice no seeds,2,Muddle,Coupe
Master Cleanse,Jalapeno Slice no seeds,1,Garnish,Coupe
Master Cleanse,Lemon Juice,.75oz,Build,Coupe
Master Cleanse,Deep Mountain Grade B Maple Syrup,.5oz,Build,Coupe
May Daisy,Hine V.S.O.P. Cognac,2oz,Build,Wine
May Daisy,Lemon Juice,1oz,Build,Wine
May Daisy,Mint Sprig,1,Garnish,Wine
May Daisy,Green Chartreuse,.75oz,Build,Wine
May Daisy,Simple Syrup,.75oz,Build,Wine
May Day,Fee Brothers Rhubarb Bitters,3dashes,Build,Coupe
May Day,Moet Imperial Champagne,2oz,Top,Coupe
May Day,Simple Syrup,1barspoon,Build,Coupe
May Day,Aperol,.5oz,Build,Coupe
May Day,Lemon Juice,.5oz,Build,Coupe
May Day,Plymouth Gin,.5oz,Build,Coupe
Melon Stand,Watermelon Ball,3,Garnish,Collins glass
Melon Stand,Plymouth Gin,2oz,Build,Collins glass
Melon Stand,Watermelon Juice,1oz,Build,Collins glass
Melon Stand,Lemon Juice,.75oz,Build,Collins glass
Melon Stand,Aperol,.5oz,Build,Collins glass
Melon Stand,Simple Syrup,.5oz,Build,Collins glass
Mexicano,Cucumber Slice,3,Muddle,Coupe
Mexicano,Moet Imperial Champagne,2oz,Top,Coupe
Mexicano,Partida Reposado Tequila,1.5oz,Build,Coupe
Mexicano,Lemon Twist,1,Garnish,Coupe
Mexicano,Gran Classico Bitter,.75oz,Build,Coupe
Mezcal Mule,Cucumber Slice,3,Muddle,Rocks
Mezcal Mule,House Ginger Beer,1oz,Build,Rocks
Mezcal Mule,Sombra Mezcal,1.5oz,Build,Rocks
Mezcal Mule,Candied Ginger,1,Garnish,Rocks
Mezcal Mule,Cucumber Slice,1,Garnish,Rocks
Mezcal Mule,Pinch Ground Chili,1,Garnish,Rocks
Mezcal Mule,Boiron Passion Fruit Puree,.75oz,Build,Rocks
Mezcal Mule,Lime Juice,.75oz,Build,Rocks
Mezcal Mule,Agave Syrup,.5oz,Build,Rocks
Midnight Express,Freshly Brewed Coffee,3oz,Build,Mug
Midnight Express,Walnut-Infused Hine V.S.O.P. Cognac,1.5oz,Build,Mug
Midnight Express,Pinch Grated Nutmeg,1,Garnish,Mug
Midnight Express,Luxardo Amaretto,.25oz,Build,Mug
Midnight Express,Simple Syrup,.25oz,Build,Mug
Midnight Express,Freshly Whipped Cream,,Garnish,Mug
Milk Punch,Myers's Dark Rum,1oz,Build,Rocks
Milk Punch,Pierre Ferrand Ambre Cognac,1oz,Build,Rocks
Milk Punch,Whole Milk,1.5oz,Build,Rocks
Milk Punch,Pinch Grated Nutmeg,1,Garnish,Rocks
Milk Punch,Simple Syrup,.75oz,Build,Rocks
Mint Apple Crisp,Granny Smith Apple Slice,3,Muddle,Coupe
Mint Apple Crisp,Honeydew Melon Ball,3,Garnish,Coupe
Mint Apple Crisp,Heart of the Hudson Apple Vodka,2oz,Build,Coupe
Mint Apple Crisp,Mint Leaf,2,Muddle,Coupe
Mint Apple Crisp,Masumi Arabashiri Sake,1oz,Build,Coupe
Mint Apple Crisp,Simple Syrup,.25oz,Build,Coupe
Mint Julep,Mint Leaf,8,Muddle,Julep Cup
Mint Julep,Mint Leaf,3,Garnish,Julep Cup
Mint Julep,Booker's Bourbon,2.5oz,Build,Julep Cup
Mint Julep,Simple Syrup,.5oz,Build,Julep Cup
Mojito,Mint Leaf,8,Muddle,Collins
Mojito,Banks 5 Island Rum,2oz,Build,Collins
Mojito,Club Soda,1oz,Top,Collins
Mojito,Simple Syrup,1oz,Build,Collins
Mojito,Mint Sprig,1,Garnish,Collins
Mojito,Lime Juice,.75oz,Build,Collins
Monkey Gland,Beefeater Gin,2oz,Build,Coupe
Monkey Gland,Orange Juice,1oz,Build,Coupe
Monkey Gland,Al Wadi Pomegranate Molasses,1barspoon,Build,Coupe
Monkey Gland,Vieux Pontarlier Absinthe,,Rinse,Coupe
Montgomery Smith,Hine V.S.O.P. Cognac,2oz,Build,Coupe
Montgomery Smith,Lemon Twist,1,Garnish,Coupe
Montgomery Smith,Benedictine,.5oz,Build,Coupe
Montgomery Smith,Fernet Branca,.25oz,Build,Coupe
Morango Fizz,Strawberry-Infused Mae de Ouro Cachaca,2oz,Build,Fizz
Morango Fizz,Club Soda,1oz,Top,Fizz
Morango Fizz,Egg White,1,Build,Fizz
Morango Fizz,Lemon Juice,.75oz,Build,Fizz
Morango Fizz,Simple Syrup,.75oz,Build,Fizz
Moscow Mule,House Ginger Beer,1oz,Build,Mule Cup
Moscow Mule,Simple Syrup,1oz,Build,Mule Cup
Moscow Mule,Smirnoff Black Vodka,1.5oz,Build,Mule Cup
Moscow Mule,Candied Ginger,1,Garnish,Mule Cup
Moscow Mule,Lime Wheel,1,Garnish,Mule Cup
Moscow Mule,Lime Juice,.75oz,Build,Mule Cup
Mount Vernon,Brandied Cherry,3,Garnish,Coupe
Mount Vernon,Clear Creek Kirschwasser,1oz,Build,Coupe
Mount Vernon,Gran Duque D'Alba Brandy de Jerez,1oz,Build,Coupe
Mount Vernon,Grapefruit Juice,.75oz,Build,Coupe
Mount Vernon,Cherry Heering,.5oz,Build,Coupe
Mount Vernon,Lustau Pedro Ximenez Sherry,.5oz,Build,Coupe
Mum's Apple Pie,Red Jacket Orchards Apple Cider,1oz,Build,Collins glass
Mum's Apple Pie,Havana Club 7-Year-Old Rum,1.5oz,Build,Collins glass
Mum's Apple Pie,Apple Slice,1,Garnish,Collins glass
Mum's Apple Pie,Pinch Grated Cinnamon,1,Garnish,Collins glass
Mum's Apple Pie,Pinch Grated Nutmeg,1,Garnish,Collins glass
Mum's Apple Pie,Lemon Juice,.75oz,Build,Collins glass
Mum's Apple Pie,Demerara Syrup,.5oz,Build,Collins glass
Navy Grog,Appleton Estate Reserve Rum,1oz,Build,Collins
Navy Grog,El Dorado 15-Year-Old Rum,1oz,Build,Collins
Navy Grog,Gosling's Black Seal Rum,1oz,Build,Collins
Navy Grog,Grapefruit Juice,.75oz,Build,Collins
Navy Grog,Lime Juice,.75oz,Build,Collins
Navy Grog,Honey Syrup,.5oz,Build,Collins
Negroni,Beefeater Gin,1.25oz,Build,Coupe/Rocks
Negroni,Campari,1.25oz,Build,Coupe/Rocks
Negroni,Martini Sweet Vermouth,1.25oz,Build,Coupe/Rocks
Negroni,Orange Twist,1,Garnish,Coupe/Rocks
New Amsterdam,Bols Genever,2oz,Build,Coupe
New Amsterdam,Peychaud's Bitters,2dashes,Build,Coupe
New Amsterdam,Clear Creek Kirschwasser,1oz,Build,Coupe
New Amsterdam,Demerara Syrup,1barspoon,Build,Coupe
New Amsterdam,Lemon Twist,1,Garnish,Coupe
New York Flip,Noval Black Port,2oz,Top,Coupe
New York Flip,Elijah Craig 12-Year-Old Bourbon,1oz,Build,Coupe
New York Flip,Egg Yolk,1,Build,Coupe
New York Flip,Pinch Grated Nutmeg,1,Garnish,Coupe
New York Flip,Heavy Cream,.5oz,Build,Coupe
New York Flip,Simple Syrup,.25oz,Build,Coupe
Newark,Laird's Bonded Apple Brandy,2oz,Build,Coupe
Newark,Vya Sweet Vermouth,1oz,Build,Coupe
Newark,Fernet Branca,.25oz,Build,Coupe
Newark,Maraska Maraschino Liqueur,.25oz,Build,Coupe
Newfangled,Brandied Cherry,3,Muddle,Coupe
Newfangled,Old Grand-Dad Bonded Bourbon,2oz,Build,Coupe
Newfangled,Southampton Double White Ale,2oz,Top,Coupe
Newfangled,Angostura Bitters,2dashes,Build,Coupe
Newfangled,Half an Orange Wheel,1,Muddle,Coupe
Newfangled,Simple Syrup,.25oz,Build,Coupe
Nigori Milk Punch,Feldman's Barrel Aged Bitters,3dashes,Build,Coupe
Nigori Milk Punch,Kamoizumi Nigori Sake,2oz,Build,Coupe
Nigori Milk Punch,Hine V.S.O.P. Cognac,1oz,Build,Coupe
Nigori Milk Punch,Pinch Grated Nutmeg,1,Garnish,Coupe
Nigori Milk Punch,Navan Vanilla Liqueur,.5oz,Build,Coupe
Noce Royale,Moet Imperial Champagne,2oz,Top,Coupe
Noce Royale,Beefeater Gin,1.5oz,Build,Coupe
Noce Royale,Plymouth Sloe Gin,.5oz,Build,Coupe
Noce Royale,Monteverdi Nocino,.25oz,Build,Coupe
Norman Inversion,Dupont Brut Sparkling Cider,2oz,Top,Coupe
Norman Inversion,Aviation Gin,1oz,Build,Coupe
Norman Inversion,Regan's Orange Bitters,1dash,Build,Coupe
Norman Inversion,Schonauer Apfel Schnapps,.5oz,Build,Coupe
Norman Inversion,Grapefruit Juice,.25oz,Build,Coupe
Norman Inversion,Simple Syrup,.25oz,Build,Coupe
Nouveau Carre,Peychaud's Bitters,3dashes,Build,Coupe
Nouveau Carre,Ocho Anejo Tequila,1.5oz,Build,Coupe
Nouveau Carre,Lemon Twist,1,Garnish,Coupe
Nouveau Carre,Lillet Blanc,.75oz,Build,Coupe
Nouveau Carre,Benedictine,.25oz,Build,Coupe
Nouveau Sangaree,Beaujolais Nouveau,2oz,Build,Coupe
Nouveau Sangaree,Angostura Bitters,2dashes,Build,Coupe
Nouveau Sangaree,Laird's Bonded Apple Brandy,1.5oz,Build,Coupe
Nouveau Sangaree,Apple Fan,1,Garnish,Coupe
Nouveau Sangaree,Pinch Grated Cinnamon,1,Garnish,Coupe
Nouveau Sangaree,Plymouth Sloe Gin,.5oz,Build,Coupe
Nouveau Sangaree,Deep Mountain Grade B Maple Syrup,.25oz,Build,Coupe
Noval Cup,Club Soda,2oz,Top,Collins
Noval Cup,Noval Black Port,2oz,Build,Collins
Noval Cup,Cucumber Wheel,1,Garnish,Collins
Noval Cup,Strawberry,1,Muddle,Collins
Noval Cup,Lemon Juice,.5oz,Build,Collins
Noval Cup,Simple Syrup,.5oz,Build,Collins
Nth Degree,Fee Brothers Whiskey Barrel Aged Bitters,2dashes,Build,Rocks
Nth Degree,Laird's Bonded Apple Brandy,1oz,Build,Rocks
Nth Degree,Rhum Clement V.S.O.P.,1oz,Build,Rocks
Nth Degree,Demerara Sugar Cube,1,Muddle,Rocks
Nth Degree,Lemon Twist,1,Garnish,Rocks
Nth Degree,Orange Twist,1,Garnish,Rocks
Nth Degree,Green Chartreuse,.5oz,Build,Rocks
Occidental,Linie Aquavit,2oz,Build,Coupe
Occidental,Orange Twist,1,Garnish,Coupe
Occidental,Grand Marnier,.75oz,Build,Coupe
Occidental,Nonino Amaro,.5oz,Build,Coupe
Occidental,Fernet Branca,,Rinse,Coupe
Old Flame,Plymouth Gin,2oz,Build,Egg Coupe
Old Flame,Egg White,1,Build,Egg Coupe
Old Flame,Lemon Juice,.75oz,Build,Egg Coupe
Old Flame,Simple Syrup,.75oz,Build,Egg Coupe
Old Flame,Green Chartreuse V.E.P.,.5oz,Flame,Egg Coupe
Old Maid,Mint Leaf,6,Muddle,Rocks
Old Maid,Cucumber Slice,3,Muddle,Rocks
Old Maid,Plymouth Gin,2oz,Build,Rocks
Old Maid,Lime Juice,1oz,Build,Rocks
Old Maid,Cucumber Slice,1,Garnish,Rocks
Old Maid,Mint Sprig,1,Garnish,Rocks
Old Maid,Simple Syrup,.75oz,Build,Rocks
Old Pal,Old Overholt Rye Whiskey,2oz,Build,Coupe
Old Pal,Campari,.75oz,Build,Coupe
Old Pal,Dolin Dry Vermouth,.75oz,Build,Coupe
Old-Fashioned Whiskey Cocktail,Wild Turkey Rye Whiskey,2oz,Build,Rocks
Old-Fashioned Whiskey Cocktail,Angostura Bitters,2dashes,Build,Rocks
Old-Fashioned Whiskey Cocktail,Demerara Sugar Cube,1,Muddle,Rocks
Old-Fashioned Whiskey Cocktail,Lemon Twist,1,Garnish,Rocks
Opera Cocktail,Plymouth Gin,2oz,Build,Coupe
Opera Cocktail,Dubonnet Rouge,1oz,Build,Coupe
Opera Cocktail,House Orange Bitters,1dash,Build,Coupe
Opera Cocktail,Orange Twist,1,Garnish,Coupe
Opera Cocktail,Mandarin Napoleon,.25oz,Build,Coupe
Paddington,Banks 5 Island Rum,1.5oz,Build,Coupe
Paddington,Grapefruit Twist,1,Garnish,Coupe
Paddington,Grapefruit Juice,.5oz,Build,Coupe
Paddington,Lemon Juice,.5oz,Build,Coupe
Paddington,Lillet Blanc,.5oz,Build,Coupe
Paddington,Bonne Maman Orange Marmalade,1barspoon,Build,Coupe
Paddington,St. George Absinthe,,Rinse,Coupe
Paddy Wallbanger,House Orange Bitters,2dashes,Build,Coupe
Paddy Wallbanger,Black Bush Irish Whiskey,1.5oz,Build,Coupe
Paddy Wallbanger,Dolin Dry Vermouth,1.5oz,Build,Coupe
Paddy Wallbanger,Galliano L'Autentico,.5oz,Build,Coupe
Paloma,Siete Leguas Reposado Tequila,2oz,Build,Collins
Paloma,Ting Grapefruit Soda,2oz,Top,Collins
Paloma,Half a Grapefruit Wheel,1,Garnish,Collins
Paloma,Lime Juice,.5oz,Build,Collins
Paloma,Salt,,Rim,Collins
Parkside Fizz,Mint Leaf,8,Muddle,Rocks
Parkside Fizz,Hangar One Buddha's Hand Vodka,2oz,Build,Rocks
Parkside Fizz,Club Soda,1oz,Top,Rocks
Parkside Fizz,Mint Sprig,1,Garnish,Rocks
Parkside Fizz,Lemon Juice,.75oz,Build,Rocks
Parkside Fizz,Kassatly Chtaura Orgeat,.5oz,Build,Rocks
Paul's Club Cocktail,Tanqueray Gin,2oz,Build,Coupe
Paul's Club Cocktail,Concord Shrubb,1oz,Build,Coupe
Paul's Club Cocktail,Ricard Pastis,.25oz,Float,Coupe
Paul's Club Cocktail,Simple Syrup,.25oz,Build,Coupe
Pearl Button,Mae de Ouro Cachaca,2oz,Build,Collins glass
Pearl Button,San Pellegrino Limonata,1.5oz,Top,Collins glass
Pearl Button,Half a Grapefruit Wheel,1,Garnish,Collins glass
Pearl Button,Lillet Blanc,.75oz,Build,Collins glass
Pearl Button,Lime Juice,.5oz,Build,Collins glass
Pearl of Puebla,Oregano Sprig,4,Muddle,Coupe
Pearl of Puebla,Sombra Mezcal,2oz,Build,Coupe
Pearl of Puebla,Agave Nectar,1barspoon,Build,Coupe
Pearl of Puebla,Ricard Pastis,1barspoon,Build,Coupe
Pearl of Puebla,Lime Juice,.75oz,Build,Coupe
Pearl of Puebla,Yellow Chartreuse,.75oz,Build,Coupe
Perfect Pear,Clear Creek Pear Brandy,2oz,Build,Coupe
Perfect Pear,Lemon Juice,.75oz,Build,Coupe
Perfect Pear,Orange Juice,.5oz,Build,Coupe
Perfect Pear,Simple Syrup,.5oz,Build,Coupe
Perfect Pear,Sugar,,Rim,Coupe
Persephone,Laird's Applejack,1oz,Build,Coupe
Persephone,Dolin Sweet Vermouth,.75oz,Build,Coupe
Persephone,Lemon Juice,.5oz,Build,Coupe
Persephone,Plymouth Sloe Gin,.5oz,Build,Coupe
Persephone,Simple Syrup,.5oz,Build,Coupe
Pharaoh Cooler,Marivani Rose Flower Water,4drops,Build,Collins glass
Pharaoh Cooler,Club Soda,1oz,Top,Collins glass
Pharaoh Cooler,Watermelon Juice,1oz,Build,Collins glass
Pharaoh Cooler,Partida Blanco Tequila,1.5oz,Build,Collins glass
Pharaoh Cooler,House Grenadine,.75oz,Build,Collins glass
Pharaoh Cooler,Lime Juice,.5oz,Build,Collins glass
Pimms Cup,Cucumber Slice,3,Muddle,Collins glass
Pimms Cup,Pimm's No. 1 Cup,2oz,Build,Collins glass
Pimms Cup,Fever-Tree Ginger Ale,1oz,Top,Collins glass
Pimms Cup,Cucumber Slice,1,Garnish,Collins glass
Pimms Cup,Lemon Juice,.75oz,Build,Collins glass
Pimms Cup,Simple Syrup,.5oz,Build,Collins glass
Pink Lady,Plymouth Gin,1.5oz,Build,Egg Coupe
Pink Lady,Egg White,1,Build,Egg Coupe
Pink Lady,Lemon Juice,.75oz,Build,Egg Coupe
Pink Lady,House Grenadine,.5oz,Build,Egg Coupe
Pink Lady,Laird's Applejack,.5oz,Build,Egg Coupe
Pink Lady,Simple Syrup,.5oz,Build,Egg Coupe
Pisco Sour,Angostura Bitters,4drops,Garnish,Egg Coupe
Pisco Sour,La Diablada Pisco,2oz,Build,Egg Coupe
Pisco Sour,Egg White,1,Build,Egg Coupe
Pisco Sour,Lime Juice,.75oz,Build,Egg Coupe
Pisco Sour,Simple Syrup,.75oz,Build,Egg Coupe
Platanos en Mole Old Fashioned,Ron Zacapa 23 Centenario Rum,2oz,Build,Rocks
Platanos en Mole Old Fashioned,Bittermens Xocolatl Mole Bitters,12drops,Build,Rocks
Platanos en Mole Old Fashioned,Pinch Ground Chili,1,Garnish,Rocks
Platanos en Mole Old Fashioned,Marie Brizard Creme de Banane,.25oz,Build,Rocks
Primavera,Krogstad Aquavit,2oz,Build,Coupe
Primavera,Asparagus Tip,2,Muddle,Coupe
Primavera,Celery Stalk,1,Muddle,Coupe
Primavera,Fennel Bulb Slice,1,Muddle,Coupe
Primavera,Orange Twist,1,Garnish,Coupe
Primavera,Cointreau,.75oz,Build,Coupe
Primavera,Lemon Juice,.75oz,Build,Coupe
Primavera,St. George Absinthe,,Rinse,Coupe
Prince Edward,Compass Box Oak Cross Blended Malt Scotch Whisky,2oz,Build,Coupe
Prince Edward,House Orange Bitters,2dashes,Build,Coupe
Prince Edward,Orange Twist,1,Garnish,Coupe
Prince Edward,Lillet Blanc,.75oz,Build,Coupe
Prince Edward,Drambuie,.5oz,Build,Coupe
Prince of Wales,Blandy's Sercial Madeira,1oz,Build,Coupe
Prince of Wales,Hine V.S.O.P. Cognac,1oz,Build,Coupe
Prince of Wales,Moet Imperial Champagne,1oz,Top,Coupe
Prince of Wales,Angostura Bitters,1dash,Build,Coupe
Prince of Wales,Orange Twist,1,Garnish,Coupe
Prince of Wales,Grand Marnier,.25oz,Build,Coupe
Professor,Rhum Clement V.S.O.P.,2oz,Build,Coupe
Professor,Angostura Bitters,1dash,Build,Coupe
Professor,House Orange Bitters,1dash,Build,Coupe
Professor,Orange Twist,1,Garnish,Coupe
Professor,Dow's Tawny Port,.75oz,Build,Coupe
Professor,Carpano Antica Sweet Vermouth,.5oz,Build,Coupe
Pumpkin Toddy,Angostura Bitters,2dashes,Build,Mug
Pumpkin Toddy,Libby's Pumpkin Puree,1tsp,Build,Mug
Pumpkin Toddy,Laird's Bonded Apple Brandy,1oz,Build,Mug
Pumpkin Toddy,Pinch Grated Cinnamon,1,Garnish,Mug
Pumpkin Toddy,Deep Mountain Grade B Maple Syrup,.5oz,Build,Mug
Pumpkin Toddy,Hot Water,.5oz,Top,Mug
Pumpkin Toddy,Lemon Juice,.5oz,Build,Mug
Pumpkin Toddy,Rittenhouse Bonded Rye Whiskey,.5oz,Build,Mug
Queen Park Swizzle,Mint Leaf,8,Muddle,Collins
Queen Park Swizzle,Barbancourt 8-Year-Old Rhum,2oz,Build,Collins
Queen Park Swizzle,Angostura Bitters,2dashes,Top,Collins
Queen Park Swizzle,Peychaud's Bitters,2dashes,Top,Collins
Queen Park Swizzle,Lime Juice,1oz,Build,Collins
Queen Park Swizzle,Mint Sprig,1,Garnish,Collins
Queen Park Swizzle,Demerara Syrup,.5oz,Build,Collins
Rack & Rye,Angostura Bitters,2dashes,Build,Rocks
Rack & Rye,Angostura Orange Bitters,2dashes,Build,Rocks
Rack & Rye,Wild Turkey Russell's Reserve 6-Year-Old Rye Whiskey,1.5oz,Build,Rocks
Rack & Rye,Lemon Peel,1,Twist,Rocks
Rack & Rye,Orange Peel,1,Twist,Rocks
Rack & Rye,Rock Candy Swizzle,1,Garnish,Rocks
Rack & Rye,van Oosten Batavia Arrack,.75oz,Build,Rocks
Rack & Rye,Demerara Syrup,.25oz,Build,Rocks
Ramos Gin Fizz,Marivani Orange Flower Water,5drops,Build,Egg Coupe
Ramos Gin Fizz,Beefeater Gin,2oz,Build,Egg Coupe
Ramos Gin Fizz,Club Soda,1oz,Top,Egg Coupe
Ramos Gin Fizz,Egg White,1,Build,Egg Coupe
Ramos Gin Fizz,Heavy Cream,.75oz,Build,Egg Coupe
Ramos Gin Fizz,Simple Syrup,.75oz,Build,Egg Coupe
Ramos Gin Fizz,Lemon Juice,.5oz,Build,Egg Coupe
Ramos Gin Fizz,Lime Juice,.5oz,Build,Egg Coupe
Rapscallion,Talisker 10-Year-Old Single Malt Scotch Whisky,2.25oz,Build,Coupe
Rapscallion,Lemon Peel,1,Twist,Coupe
Rapscallion,Lustau Pedro Ximenez Sherry,.75oz,Build,Coupe
Rapscallion,St. George Absinthe,,Rinse,Coupe
Raspberries Reaching,Marivani Rose Flower Water,3drops,Build,Coupe
Raspberries Reaching,"Tokaji Aszu 5 Puttonyos ""Red Label""",1oz,Build,Coupe
Raspberries Reaching,Trimbach Framboise,1.5oz,Build,Coupe
Raspberries Reaching,Pink Rose Petal,1,Garnish,Coupe
