Drink,Ingredient,Amount,IngredientUse,Glass
Raspberries Reaching,Pama Pomegranate Liqueur,.5oz,Build,Coupe
Rattlesnake,Rittenhouse Bonded Rye Whiskey,2oz,Build,Egg Coupe
Rattlesnake,Lemon Juice,1oz,Build,Egg Coupe
Rattlesnake,Egg White,1,Build,Egg Coupe
Rattlesnake,Simple Syrup,.75oz,Build,Egg Coupe
Rattlesnake,Vieux Pontarlier Absinthe,,Rinse,Egg Coupe
Red Devil,Dried Persimmon Slice,3,Muddle,Rocks
Red Devil,Bols Genever,2oz,Build,Rocks
Red Devil,Fee Brothers Whiskey Barrel Aged Bitters,2dashes,Build,Rocks
Red Devil,Jujube Tea-infused Vya Sweet Vermouth,1oz,Build,Rocks
Red Devil,Cinnamon Stick,1,Garnish,Rocks
Red-headed Saint,A.B. Smeby Verbena Bitters,4dashes,Build,Collins glass
Red-headed Saint,Peychaud's Bitters,4dashes,Top,Collins glass
Red-headed Saint,Beleza Pura Cachaca,2oz,Build,Collins glass
Red-headed Saint,Lime Juice,.75oz,Build,Collins glass
Red-headed Saint,Agave Syrup,.5oz,Build,Collins glass
Red-headed Saint,Yellow Chartreuse,.25oz,Build,Collins glass
Remember Maine,Rhum Clement V.S.O.P.,2oz,Build,Rocks
Remember Maine,Angostura Bitters,2dashes,Build,Rocks
Remember Maine,Red Jacket Orchards Apple Cider,1.5oz,Build,Rocks
Remember Maine,Apple Fan,1,Garnish,Rocks
Remember Maine,Pinch Sea Salt,1,Garnish,Rocks
Remember Maine,St. Elizabeth Allspice Dram,.25oz,Build,Rocks
Remember the Maine,Wild Turkey Russell's Reserve 6-Year-Old Rye Whiskey,2oz,Build,Coupe
Remember the Maine,Pernod,1barspoon,Build,Coupe
Remember the Maine,Lemon Twist,1,Garnish,Coupe
Remember the Maine,Carpano Antica Sweet Vermouth,.75oz,Build,Coupe
Remember the Maine,Cherry Heering,.5oz,Build,Coupe
Resting Point,Siete Leguas Reposado Tequila,1.5oz,Build,Coupe
Resting Point,Strawberry,1,Garnish,Coupe
Resting Point,Strawberry,1,Muddle,Coupe
Resting Point,Strawberry Fan,1,Garnish,Coupe
Resting Point,Agave Syrup,.5oz,Build,Coupe
Resting Point,Lemon Juice,.5oz,Build,Coupe
Resting Point,Punt e Mes,.5oz,Build,Coupe
Resting Point,Yellow Chartreuse,.5oz,Build,Coupe
Reverend Palmer,BlackTea-Infused Elijah Craig 12-Year-Old Bourbon,2oz,Build,Rocks
Reverend Palmer,Angostura Bitters,2dashes,Build,Rocks
Reverend Palmer,Lemon Twist,1,Garnish,Rocks
Reverend Palmer,Lemon Syrup,.5oz,Build,Rocks
Rhubarbarita,Lemon Juice,1oz,Build,Coupe
Rhubarbarita,Partida Blanco Tequila,1.5oz,Build,Coupe
Rhubarbarita,Grapefruit Twist,1,Garnish,Coupe
Rhubarbarita,Grand Marnier,.75oz,Build,Coupe
Rhubarbarita,Boiron Rhubarb Puree,.5oz,Build,Coupe
Rhubarbarita,House Grenadine,.5oz,Build,Coupe
Rhum Club,Banks 5 Island Rum,2oz,Build,Coupe
Rhum Club,Angostura Bitters,2dashes,Build,Coupe
Rhum Club,Angostura Orange Bitters,1dash,Build,Coupe
Rhum Club,Orange Wedge,1,Garnish,Coupe
Rhum Club,Lime Juice,.75oz,Build,Coupe
Rhum Club,Rhum Clement Creole Shrubb,.5oz,Build,Coupe
Rhum Club,Martinique Sugar Cane Syrup,.25oz,Build,Coupe
Rio Bravo,Freshly Peeled Ginger Slice,3,Muddle,Coupe
Rio Bravo,Sagatiba Cachaca,2oz,Build,Coupe
Rio Bravo,Orange Twist,1,Garnish,Coupe
Rio Bravo,Lime Juice,.75oz,Build,Coupe
Rio Bravo,Kassatly Chtaura Orgeat,.5oz,Build,Coupe
Rite of Spring,Tanqueray Gin,2oz,Build,Coupe
Rite of Spring,Pickled Ramps,1,Garnish,Coupe
Rite of Spring,Vya Dry Vermouth,.75oz,Build,Coupe
Rite of Spring,Pickled Ramp Brine,.25oz,Build,Coupe
Rob Roy,Angostura Orange Bitters,2dashes,Build,Coupe
Rob Roy,Famous Grouse Blended Scotch Whisky,2.5oz,Build,Coupe
Rob Roy,Lemon Twist,1,Garnish,Coupe
Rob Roy,Dolin Sweet Vermouth,.75oz,Build,Coupe
Romeo Y Julieta,Aftel Tobacco Essence,4,Spritz,Coupe
Romeo Y Julieta,Ron Zacapa Centenario 23 Rum,2oz,Build,Coupe
Romeo Y Julieta,Campari,.5oz,Build,Coupe
Romeo Y Julieta,Carpano Antica Sweet Vermouth,.5oz,Build,Coupe
Rose,Brandied Cherry,3,Garnish,Coupe
Rose,Noilly Prat Dry Vermouth,2oz,Build,Coupe
Rose,Clear Creek Kirschwasser,1oz,Build,Coupe
Rose,Bonne Maman Raspberry Preserves,1barspoon,Build,Coupe
Rosita,Angostura Bitters,1dash,Build,Coupe
Rosita,Partida Reposado Tequila,1.5oz,Build,Coupe
Rosita,Orange Twist,1,Garnish,Coupe
Rosita,Campari,.5oz,Build,Coupe
Rosita,Dolin Dry Vermouth,.5oz,Build,Coupe
Rosita,Martini Sweet Vermouth,.5oz,Build,Coupe
Royal Bermuda Yachtclub Cocktail,Mount Gay Eclipse Amber Rum,2oz,Build,Coupe
Royal Bermuda Yachtclub Cocktail,Lime Juice,1oz,Build,Coupe
Royal Bermuda Yachtclub Cocktail,Lime Wheel,1,Garnish,Coupe
Royal Bermuda Yachtclub Cocktail,Cointreau,.5oz,Build,Coupe
Royal Bermuda Yachtclub Cocktail,John D. Taylor's Velvet Falernum,.5oz,Build,Coupe
Rust Belt,Angostura Bitters,2,Spritz,Egg Coupe
Rust Belt,Barbancourt 8-Year-Old Rhum,1.5oz,Build,Egg Coupe
Rust Belt,Egg White,1,Build,Egg Coupe
Rust Belt,Lemon Juice,.5oz,Build,Egg Coupe
Rust Belt,Lime Juice,.5oz,Build,Egg Coupe
Rust Belt,Navan Vanilla Liqueur,.5oz,Build,Egg Coupe
Rust Belt,Kassatly Chtaura Orgeat,.25oz,Build,Egg Coupe
Rusty Nail,Famous Grouse Blended Scotch Whisky,2oz,Build,Coupe
Rusty Nail,Drambuie,.75oz,Build,Coupe
Rye Witch,Rittenhouse Bonded Rye Whiskey,2oz,Build,Rocks
Rye Witch,House Orange Bitters,2dashes,Build,Rocks
Rye Witch,Orange Peel,1,Twist,Rocks
Rye Witch,Sugar Cube,1,Muddle,Rocks
Rye Witch,Lustau Palo Cortado Sherry,.25oz,Build,Rocks
Rye Witch,Strega,.25oz,Build,Rocks
Sage Old Buck,Whole Black Peppercorn,8,Muddle,Collins
Sage Old Buck,Benromach 12-Year-Old Single Malt Scotch Whisky,1.5oz,Build,Collins
Sage Old Buck,Sage Leaf,1,Garnish,Collins
Sage Old Buck,House Ginger Beer,.75oz,Build,Collins
Sage Old Buck,Lemon Juice,.75oz,Build,Collins
Sage Old Buck,Simple Syrup,.75oz,Build,Collins
Sage Old Buck,Belle de Brillet,.5oz,Build,Collins
Sage Old Buck,Eurovanille Vanilla Syrup,.25oz,Build,Collins
Sazerac,Peychaud's Bitters,3dashes,Build,Rocks
Sazerac,Rittenhouse Bonded Rye Whiskey,2oz,Build,Rocks
Sazerac,Angostura Bitters,2dashes,Build,Rocks
Sazerac,Demerara Sugar Cube,1,Muddle,Rocks
Sazerac,Lemon Peel,1,Twist,Rocks
Sazerac,Vieux Pontarlier Absinthe,,Rinse,Rocks
Seelbach Cocktail,Peychaud's Bitters,3dashes,Build,Coupe
Seelbach Cocktail,Moet Imperial Champagne,2oz,Top,Coupe
Seelbach Cocktail,Angostura Bitters,2dashes,Build,Coupe
Seelbach Cocktail,Bulleit Bourbon,1oz,Build,Coupe
Seelbach Cocktail,Orange Twist,1,Garnish,Coupe
Seelbach Cocktail,Cointreau,.5oz,Build,Coupe
Shaddock Rose,El Tesoro Reposado Tequila,2oz,Build,Coupe
Shaddock Rose,House Orange Bitters,1dash,Build,Coupe
Shaddock Rose,Peychaud's Bitters,1dash,Build,Coupe
Shaddock Rose,Lemon Twist,1,Garnish,Coupe
Shaddock Rose,Small Hand Foods Grapefruit Cordial,.5oz,Build,Coupe
Shiso Delicious,Shiso Leaves,2,Muddle,Coupe
Shiso Delicious,Aviation Gin,1.75oz,Build,Coupe
Shiso Delicious,Red Bell Pepper Slice,1,Muddle,Coupe
Shiso Delicious,Lemon Juice,.75oz,Build,Coupe
Shiso Delicious,Grapefruit Juice,.5oz,Build,Coupe
Shiso Delicious,Martinique Sugar Cane Syrup,.25oz,Build,Coupe
Shiso Malt Sour,Yamazaki 12-Year-Old Japanese Single Malt Whisky,2oz,Build,Egg Coupe
Shiso Malt Sour,Shiso Leaves,2,Muddle,Egg Coupe
Shiso Malt Sour,Egg White,1,Build,Egg Coupe
Shiso Malt Sour,Shiso Leaves,1,Garnish,Egg Coupe
Shiso Malt Sour,Lime Juice,.75oz,Build,Egg Coupe
Shiso Malt Sour,Simple Syrup,.75oz,Build,Egg Coupe
Shiso Malt Sour,Vieux Pontarlier Absinthe,.25oz,Build,Egg Coupe
Sidecar,Remy Martin V.S.O.P. Cognac,2oz,Build,Coupe
Sidecar,Cointreau,.75oz,Build,Coupe
Sidecar,Lemon Juice,.75oz,Build,Coupe
Sidecar,Simple Syrup,.25oz,Build,Coupe
Sidecar,Sugar,,Rim,Coupe
Siesta,El Tesoro Reposado Tequila,2oz,Build,Coupe
Siesta,Grapefruit Twist,1,Garnish,Coupe
Siesta,Campari,.5oz,Build,Coupe
Siesta,Grapefruit Juice,.5oz,Build,Coupe
Siesta,Lime Juice,.5oz,Build,Coupe
Siesta,Simple Syrup,.5oz,Build,Coupe
Silk Road,Black Sesame-Infused Krogstad Aquavit,2oz,Build,Coupe
Silk Road,Angostura Bitters,1dash,Build,Coupe
Silk Road,Peychaud's Bitters,1dash,Build,Coupe
Silk Road,Flamed Orange Twist,1,Garnish,Coupe
Silk Road,Caramelized Simple Syrup,.25oz,Build,Coupe
Silver Lining,Club Soda,1oz,Top,Fizz
Silver Lining,Old Overholt Rye Whiskey,1.5oz,Build,Fizz
Silver Lining,Egg White,1,Build,Fizz
Silver Lining,Lemon Juice,.75oz,Build,Fizz
Silver Lining,Licor 43,.75oz,Build,Fizz
Silver Lining,Simple Syrup,.25oz,Build,Fizz
Silver Root Beer Fizz,Fitz's Root Beer,2oz,Top,Fizz
Silver Root Beer Fizz,Mount Gay Eclipse White Rum,1oz,Build,Fizz
Silver Root Beer Fizz,Smith & Cross Jamaican Rum,1oz,Build,Fizz
Silver Root Beer Fizz,Egg White,1,Build,Fizz
Silver Root Beer Fizz,Pinch Grated Nutmeg,1,Garnish,Fizz
Silver Root Beer Fizz,Lemon Juice,.5oz,Build,Fizz
Silver Root Beer Fizz,Pineapple Juice,.5oz,Build,Fizz
Silver Sangaree,Kirsch Brandied Cherry,4,Muddle,Wine
Silver Sangaree,Paumanok Cabernet Franc,1.5oz,Build,Wine
Silver Sangaree,Egg White,1,Build,Wine
Silver Sangaree,Pinch Grated Nutmeg,1,Garnish,Wine
Silver Sangaree,Lemon Juice,.75oz,Build,Wine
Silver Sangaree,Clove Syrup,.5oz,Build,Wine
Silver Sangaree,Dow's Ruby Port,.5oz,Build,Wine
Silver Sangaree,Famous Grouse Blended Scotch Whisky,.5oz,Build,Wine
Singapore Sling,Pineapple Juice,2oz,Build,Collins glass
Singapore Sling,Angostura Bitters,1dash,Build,Collins glass
Singapore Sling,Plymouth Gin,1.5oz,Build,Collins glass
Singapore Sling,Cherry,1,Garnish,Collins glass
Singapore Sling,Pineapple Slice,1,Garnish,Collins glass
Singapore Sling,Cherry Heering,.5oz,Build,Collins glass
Singapore Sling,House Grenadine,.5oz,Build,Collins glass
Singapore Sling,Benedictine,.25oz,Build,Collins glass
Singapore Sling,Cointreau,.25oz,Build,Collins glass
Singapore Sling,Lime Juice,.25oz,Build,Collins glass
Single Malt Sangaree,Paumanok Cabernet Franc,2oz,Build,Mug
Single Malt Sangaree,Dubonnet Rouge,1oz,Build,Mug
Single Malt Sangaree,Oban 14-Year-Old Single Malt Scotch Whisky,1oz,Build,Mug
Single Malt Sangaree,Demerara Syrup,1barspoon,Build,Mug
Single Malt Sangaree,Cinnamon Stick,1,Garnish,Mug
Single Malt Sangaree,Orange Peel,1,Twist,Mug
Single Malt Sangaree,Grand Marnier,.75oz,Build,Mug
Sloe Gin Fizz,Club Soda,3oz,Top,Fizz
Sloe Gin Fizz,Plymouth Gin,1oz,Build,Fizz
Sloe Gin Fizz,Plymouth Sloe Gin,1oz,Build,Fizz
Sloe Gin Fizz,Lemon Juice,.75oz,Build,Fizz
Sloe Gin Fizz,Simple Syrup,.25oz,Build,Fizz
Smoky Grove,Compass Box Peat Monster Blended Malt Scotch Whisky,2oz,Build,Coupe
Smoky Grove,Angostura Bitters,1dash,Build,Coupe
Smoky Grove,House Orange Bitters,1dash,Build,Coupe
Smoky Grove,Flamed Orange Twist,1,Garnish,Coupe
Smoky Grove,Carpano Antica Sweet Vermouth,.5oz,Build,Coupe
Smoky Grove,Dolin Dry Vermouth,.5oz,Build,Coupe
Solstice,Rittenhouse Bonded Rye Whiskey,1.5oz,Build,Coupe
Solstice,Dubonnet Rouge,.5oz,Build,Coupe
Solstice,Laird's Bonded Apple Brandy,.5oz,Build,Coupe
Solstice,Nonino Amaro,.5oz,Build,Coupe
Solstice,House Grenadine,.25oz,Build,Coupe
South Slope,Lemon Twist,1,Garnish,Coupe
South Slope,Aperol,.75oz,Build,Coupe
South Slope,Beefeater Gin,.75oz,Build,Coupe
South Slope,Lillet Blanc,.75oz,Build,Coupe
South Slope,Lemon Juice,.5oz,Build,Coupe
South Slope,Marie Brizard Orange Curacao,.5oz,Build,Coupe
Southside,Mint Leaf,4,Muddle,Coupe
Southside,Plymouth Gin,2oz,Build,Coupe
Southside,Lemon Juice,.75oz,Build,Coupe
Southside,Simple Syrup,.75oz,Build,Coupe
Spice Market,Masumi Arabashiri Sake,2oz,Build,Coupe
Spice Market,Beefeater 24 Gin,1oz,Build,Coupe
Spice Market,John D. Taylor's Velvet Falernum,1barspoon,Build,Coupe
Spice Market,Aftel Clove Essence,1,Spritz,Coupe
St. Rita,Moet Imperial Champagne,2oz,Top,Egg Coupe
St. Rita,Clear Creek Plum Brandy,1.5oz,Build,Egg Coupe
St. Rita,Edible Orchid,1,Garnish,Egg Coupe
St. Rita,Marivani Lavender Essence,1,Spritz,Egg Coupe
St. Rita,Lime Juice,.75oz,Build,Egg Coupe
St. Rita,Honey Syrup,.5oz,Build,Egg Coupe
St. Rita,Zwack,.5oz,Build,Egg Coupe
Staggerac,Peychaud's Bitters,3dashes,Build,Rocks
Staggerac,George T. Stagg Bourbon,2oz,Build,Rocks
Staggerac,Angostura Bitters,2dashes,Build,Rocks
Staggerac,Lemon Peel,1,Twist,Rocks
Staggerac,Sugar Cube,1,Muddle,Rocks
Staggerac,Edouard Absinthe,,Rinse,Rocks
Statesman,Beefeater 24 Gin,2oz,Build,Coupe
Statesman,Regan's Orange Bitters,1dash,Build,Coupe
Statesman,Green Chartreuse,1barspoon,Build,Coupe
Statesman,Lemon Twist,1,Garnish,Coupe
Statesman,Rothman & Winter Orchard Pear,.5oz,Build,Coupe
Swiss Mist,Plymouth Gin,2oz,Build,Egg Coupe
Swiss Mist,Egg White,1,Build,Egg Coupe
Swiss Mist,Kubler Absinthe,1,Spritz,Egg Coupe
Swiss Mist,Grapefruit Syrup,.75oz,Build,Egg Coupe
Swiss Mist,Lemon Juice,.75oz,Build,Egg Coupe
Swollen Gland,Peychaud's Bitters,4dashes,Build,Coupe
Swollen Gland,Berkshire Mountain Distillers' Greylock Gin,2oz,Build,Coupe
Swollen Gland,Cucumber Ribbon,1,Garnish,Coupe
Swollen Gland,Orange Juice,.5oz,Build,Coupe
Swollen Gland,Yellow Chartreuse,.25oz,Build,Coupe
Swollen Gland,Vieux Pontarlier Absinthe,,Rinse,Coupe
T&T,Angostura Bitters,2dashes,Build,Coupe
T&T,Siembra Azul Blanco Tequila,1oz,Build,Coupe
T&T,Sombra Mezcal,1oz,Build,Coupe
T&T,Tamarind Puree,1.5oz,Build,Coupe
T&T,Orange Twist,1,Garnish,Coupe
T&T,Benedictine,.5oz,Build,Coupe
Talbott Leaf,Mint Leaf,6,Muddle,Coupe
Talbott Leaf,Old Grand-Dad Bonded Bourbon,2oz,Build,Coupe
Talbott Leaf,Bonne Maman Strawberry Preserves,1barspoon,Build,Coupe
Talbott Leaf,Mint Leaf,1,Garnish,Coupe
Talbott Leaf,Lemon Juice,.75oz,Build,Coupe
Talbott Leaf,Green Chartreuse,.5oz,Build,Coupe
Talbott Leaf,Cynar,.25oz,Build,Coupe
Tao of Pooh,Liquiteria Coconut Water,2oz,Build,Coupe
Tao of Pooh,The Bitter Truth Lemon Bitters,2dashes,Build,Coupe
Tao of Pooh,42 Below Manuka Honey Vodka,1.5oz,Build,Coupe
Tao of Pooh,Galliano L'Autentico,.25oz,Build,Coupe
There Will Be Blood,Old Grand-Dad Bonded Bourbon,2oz,Build,Coupe
There Will Be Blood,Flamed Orange Twist,1,Garnish,Coupe
There Will Be Blood,Blood Orange Juice,.75oz,Build,Coupe
There Will Be Blood,Godiva Original Liqueur,.75oz,Build,Coupe
Tipperary Cocktail,Black Bush Irish Whiskey,2oz,Build,Coupe
Tipperary Cocktail,Carpano Antica Sweet Vermouth,1oz,Build,Coupe
Tipperary Cocktail,Green Chartreuse,,Rinse,Coupe
Ti-Punch,Neisson Rhum Reserve Speciale,2oz,Build,Rocks
Ti-Punch,Martinique Sugar Cane Syrup,1barspoon,Build,Rocks
Ti-Punch,Lime Disc,1,Build,Rocks
Tom Collins,Club Soda,2oz,Top,Collins glass
Tom Collins,Hayman's Old Tom Gin,2oz,Build,Collins glass
Tom Collins,Lemon Wedge,1,Garnish,Collins glass
Tom Collins,Lemon Juice,.75oz,Build,Collins glass
Tom Collins,Simple Syrup,.5oz,Build,Collins glass
Tommy's Margarita,L & J Blanco Tequila,2oz,Build,Rocks
Tommy's Margarita,Agave Syrup,1oz,Build,Rocks
Tommy's Margarita,Lime Juice,1oz,Build,Rocks
Triborough,Wild Turkey Rye Whiskey,2oz,Build,Rocks
Triborough,Angostura Bitters,1dash,Build,Rocks
Triborough,Orange Twist,1,Garnish,Rocks
Triborough,Amaro Ciociaro,.5oz,Build,Rocks
Triborough,Clear Creek Kirschwasser,.5oz,Build,Rocks
Triborough,Punt e Mes,.5oz,Build,Rocks
Trident,Fee Brothers Peach Bitters,2dashes,Build,Coupe
Trident,Krogstad Aquavit,1.5oz,Build,Coupe
Trident,Lustau Manzanilla Sherry,1.5oz,Build,Coupe
Trident,Lemon Twist,1,Garnish,Coupe
Trident,Cynar,.75oz,Build,Coupe
Tuxedo,Plymouth Gin,2oz,Build,Coupe
Tuxedo,House Orange Bitters,2dashes,Build,Coupe
Tuxedo,Dolin Dry Vermouth,1.5oz,Build,Coupe
Tuxedo,Cherry,1,Garnish,Coupe
Tuxedo,Lemon Twist,1,Garnish,Coupe
Tuxedo,Luxardo Maraschino Liqueur,.25oz,Build,Coupe
Tuxedo,Vieux Pontarlier Absinthe,,Rinse,Coupe
Up to Date,Wild Turkey Rye Whiskey,2oz,Build,Coupe
Up to Date,Angostura Bitters,2dashes,Build,Coupe
Up to Date,Lemon Twist,1,Garnish,Coupe
Up to Date,Lustau Manzanilla Sherry,.75oz,Build,Coupe
Up to Date,Grand Marnier,.5oz,Build,Coupe
Vaccari,The Bitter Truth Grapefruit Bitters,1dash,Build,Rocks
Vaccari,The Bitter Truth Lemon Bitters,1dash,Build,Rocks
Vaccari,Chamomile-Infused Compass Box Asyla Blended Scotch Whisky,1.5oz,Build,Rocks
Vaccari,Grapefruit Twist,1,Garnish,Rocks
Vaccari,Dolin Dry Vermouth,.75oz,Build,Rocks
Vaccari,Galliano L'Autentico,.5oz,Build,Rocks
Vauvert Slim,Mint Leaf,6,Muddle,Egg Coupe
Vauvert Slim,Grapefruit Juice,2oz,Build,Egg Coupe
Vauvert Slim,Green Chartreuse,1oz,Build,Egg Coupe
Vauvert Slim,Egg White,1,Build,Egg Coupe
Vauvert Slim,Mint Leaf,1,Garnish,Egg Coupe
Vauvert Slim,Lime Juice,.5oz,Build,Egg Coupe
Vauvert Slim,Laphroaig 10-Year-Old Single Malt Scotch,,Rinse,Egg Coupe
Velvet Club,Hine V.S.O.P. Cognac,1oz,Build,Coupe
Velvet Club,Moet Imperial Champagne,1oz,Top,Coupe
Velvet Club,Lillet Blanc,.5oz,Build,Coupe
Velvet Club,Marie Brizard White Creme de Cacao,.5oz,Build,Coupe
Vesper,Plymouth Gin,2.25oz,Build,Coupe
Vesper,Lemon Twist,1,Garnish,Coupe
Vesper,Belvedere Vodka,.75oz,Build,Coupe
Vesper,Lillet Blanc,.5oz,Build,Coupe
Vieux Carre,Carpano Antica Sweet Vermouth,1oz,Build,Rocks
Vieux Carre,Hine V.S.O.P. Cognac,1oz,Build,Rocks
Vieux Carre,Sazerac 6-Year-Old Rye Whiskey,1oz,Build,Rocks
Vieux Carre,Angostura Bitters,1dash,Build,Rocks
Vieux Carre,Peychaud's Bitters,1dash,Build,Rocks
Vieux Carre,Benedictine,.25oz,Build,Rocks
Vieux Mot,Plymouth Gin,1.5oz,Build,Coupe
Vieux Mot,Lemon Juice,.75oz,Build,Coupe
Vieux Mot,Simple Syrup,.5oz,Build,Coupe
Vieux Mot,St. Germain Elderflower Liqueur,.5oz,Build,Coupe
Ward Eight,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe
Ward Eight,Al Wadi Pomegranate Molasses,1barspoon,Build,Coupe
Ward Eight,Lemon Juice,.5oz,Build,Coupe
Ward Eight,Orange Juice,.5oz,Build,Coupe
Ward Eight,Simple Syrup,.25oz,Build,Coupe
Water Lily,Orange Twist,1,Garnish,Coupe
Water Lily,Cointreau,.75oz,Build,Coupe
Water Lily,Lemon Juice,.75oz,Build,Coupe
Water Lily,Plymouth Gin,.75oz,Build,Coupe
Water Lily,Rothman & Winter Creme de Violette,.75oz,Build,Coupe
Weeski,Jameson 12-Year-Old Irish Whiskey,2oz,Build,Coupe
Weeski,House Orange Bitters,2dashes,Build,Coupe
Weeski,Orange Twist,1,Garnish,Coupe
Weeski,Lillet Blanc,.75oz,Build,Coupe
Weeski,Cointreau,.5oz,Build,Coupe
Wellington Fizz,Diluted Aftel Bergamot Essence,3,Spritz,Collins
Wellington Fizz,42 Below Kiwi Vodka,2oz,Build,Collins
Wellington Fizz,Heavy Cream,1oz,Build,Collins
Wellington Fizz,Club Soda,1,Top,Collins
Wellington Fizz,Egg White,1,Build,Collins
Wellington Fizz,Lime Juice,.75oz,Build,Collins
Wellington Fizz,Boiron Passion Fruit Puree,.5oz,Build,Collins
Wellington Fizz,Kassatly Chtaura Orgeat,.5oz,Build,Collins
Whiskey Smash,Mint Leaf,6,Muddle,Rocks
Whiskey Smash,Lemon Wedge,3,Muddle,Rocks
Whiskey Smash,Rittenhouse Bonded Rye Whiskey,2oz,Build,Rocks
Whiskey Smash,Mint Leaf,1,Garnish,Rocks
Whiskey Smash,Simple Syrup,.75oz,Build,Rocks
White Birch Fizz,Club Soda,2oz,Top,Collins
White Birch Fizz,Plymouth Gin,1.5oz,Build,Collins
White Birch Fizz,Egg White,1,Build,Collins
White Birch Fizz,Suze,1,Spritz,Collins
White Birch Fizz,Lemon Juice,.75oz,Build,Collins
White Birch Fizz,Rothman & Winter Orchard Apricot,.5oz,Build,Collins
White Birch Fizz,Strega,.5oz,Build,Collins
White Lady,Beefeater Gin,2oz,Build,Egg Coupe
White Lady,Egg White,1,Build,Egg Coupe
White Lady,Cointreau,.75oz,Build,Egg Coupe
White Lady,Lemon Juice,.75oz,Build,Egg Coupe
White Lady,Simple Syrup,.25oz,Build,Egg Coupe
White Negroni,Plymouth Gin,2oz,Build,Coupe
White Negroni,Lillet Blanc,1oz,Build,Coupe
White Negroni,Lemon Twist,1,Garnish,Coupe
White Negroni,Suze,.75oz,Build,Coupe
Widow's Kiss,Laird's Bonded Apple Brandy,2oz,Build,Coupe
Widow's Kiss,Angostura Bitters,2dashes,Build,Coupe
Widow's Kiss,Benedictine,.25oz,Build,Coupe
Widow's Kiss,Yellow Chartreuse,.25oz,Build,Coupe
Witch's Kiss,Jose Cuervo Platino Tequila,2oz,Build,Coupe
Witch's Kiss,Red Jacket Orchards Apple Butter,1barspoon,Build,Coupe
Witch's Kiss,Lemon Twist,1,Garnish,Coupe
Witch's Kiss,Lemon Juice,.75oz,Build,Coupe
Witch's Kiss,Strega,.5oz,Build,Coupe
Woolworth,Compass Box Asyla Blended Scotch Whisky,2oz,Build,Coupe
Woolworth,House Orange Bitters,2dashes,Build,Coupe
Woolworth,Lustau Manzanilla Sherry,1oz,Build,Coupe
Woolworth,Lemon Twist,1,Garnish,Coupe
Woolworth,Benedictine,.5oz,Build,Coupe
Wrong Aisle,Laird's Bonded Apple Brandy,2oz,Build,Coupe
Wrong Aisle,Lillet Rouge,1oz,Build,Coupe
Wrong Aisle,Apple Fan,1,Garnish,Coupe
Wrong Aisle,Pinch Grated Nutmeg,1,Garnish,Coupe
Wrong Aisle,Quince Shrubb (Huilerie Beaujolaise Vinaigre de Coing),.25oz,Build,Coupe
Wrong Aisle,St. Germain Elderflower Liqueur,,Rinse,Coupe
Zombie Punch,Lemon Hart Overproof Rum,1oz,Build,Tiki Mug
Zombie Punch,Angostura Bitters,1dash,Build,Tiki Mug
Zombie Punch,House Grenadine,1barspoon,Build,Tiki Mug
Zombie Punch,Vieux Pontarlier Absinthe,1/8 tsp,Build,Tiki Mug
Zombie Punch,Appleton Estate Reserve Rum,1.5oz,Build,Tiki Mug
Zombie Punch,Bacardi 8 Rum,1.5oz,Build,Tiki Mug
Zombie Punch,Mint Sprig,1,Garnish,Tiki Mug
Zombie Punch,Lime Juice,.75oz,Build,Tiki Mug
Zombie Punch,John D. Taylor's Velvet Falernum,.5oz,Build,Tiki Mug
Zombie Punch,Trader Tiki's Don's Mix,.5oz,Build,Tiki Mug
